Subject,alpha,beta,decay
77.0,0.0,1e-10,0.9250439119403527
78.0,0.0,1e-10,0.8653815089494722
79.0,0.0,1e-10,0.8332118512162722
80.0,0.0,1e-10,1.0
81.0,0.0,1e-10,1.0
82.0,0.0,1e-10,0.6041054078791986
83.0,0.0,1e-10,1.0
84.0,0.1835990881050501,1e-10,1.0
85.0,0.5755182530338729,0.24303753098577963,0.0
86.0,0.8165184938865019,0.8215688513904377,0.9593308482537304
87.0,0.07826105254523119,20.0,0.8984247204142667
88.0,0.9918416550263491,0.14102305557906064,1.0
89.0,0.0,1e-10,0.39014088580258466
90.0,0.0,1e-10,0.9569476673968753
91.0,0.8898533898152157,0.1571860544110245,1.0
92.0,1.0,0.13987253691209642,0.0
93.0,0.9999999998123748,5.641397107904214,0.9752056511598381
94.0,1.0,20.0,0.7831046648925132
95.0,0.5873478962898098,0.23814257786211346,1.0
96.0,1.0,6.552290843893237,1.0
97.0,0.48188044052699797,0.6578376704340233,1.0
98.0,0.0,1e-10,0.05971731455007068
99.0,1.0,5.476582456645851,0.9744602713731814
100.0,0.0,1e-10,1.0
101.0,0.4697201635334524,0.70403995137475,1.0
102.0,0.016207068899392232,20.0,0.0
103.0,0.21168808219660992,0.6607482672601476,0.6040465768377836
104.0,0.8373362750653096,1e-10,0.2817791097290333
105.0,0.0027283990476817204,20.0,0.0
106.0,0.0077646959379135344,20.0,0.0
107.0,0.18273590101569276,0.7654354749910469,1.0
108.0,1.0,0.044670190855892196,0.0
109.0,1.0,6.8388766269727235,0.9795487054514971
110.0,1.0,0.3115887895984558,0.5510989218673493
111.0,0.29076286159178566,0.4810536680775905,1.0
112.0,1.0,5.5137442973009705,0.9746322391897266
113.0,0.0,1e-10,1.0
114.0,0.0,0.03295563460337824,1.0
115.0,0.0013401574163733148,20.0,0.26954490396135333
116.0,0.0,1e-10,1.0
117.0,0.002736278963516261,20.0,0.0
118.0,0.3519675523319889,0.39740181282198855,0.0
119.0,0.35262466329638376,0.3966612930813817,1.0
120.0,0.0,1e-10,0.21743769209012753
121.0,0.0,1e-10,0.38862929333171714
122.0,0.5412400952847273,0.3327141708651427,1.0
123.0,0.0,1e-10,0.7086807154697053
124.0,0.0,1e-10,1.0
125.0,1.0,10.163771791083935,0.0
126.0,0.8501742710355571,0.16452219159290835,0.8210559066717257
127.0,0.7016426430233115,0.19935010770711453,0.08335345224456665
128.0,0.7044154417045105,0.4553528841172725,0.3396445887653034
129.0,0.9999999660055817,0.13987253949516568,0.0
130.0,0.41310137576040795,0.11708702207090833,1.0
131.0,0.012084513517653538,20.0,0.29074715576301696
132.0,1.0,20.0,0.8840277844391474
133.0,1.0,20.0,0.8310879479092466
134.0,0.6745395689456674,0.20736001698082038,1.0
135.0,0.8977495599250784,1e-10,1.0
136.0,1.0,20.0,0.9930079480100917
137.0,1.0,1.9027137159450278,0.9136761945079374
138.0,1.0,4.427714328234124,1.0
139.0,1.0,5.851703703900515,0.6068133554297038
140.0,0.0,1e-10,1.0
141.0,1.0,20.0,0.9528604549343171
142.0,0.6308566160438963,0.22171844603851829,1.0
143.0,1.0,20.0,0.6690742566057124
144.0,0.0,0.07724224644272504,0.9208096761077837
145.0,0.0,1e-10,1.0
146.0,0.0,1e-10,0.9558373710985724
147.0,1.0,20.0,0.9930298918924605
148.0,1.0,5.224378622515825,0.9354344190848873
149.0,1.0,20.0,0.9528604537279347
150.0,0.0022459316648003247,20.0,0.0
151.0,0.0,1e-10,1.0
152.0,1.0,0.04467018750747499,0.0
153.0,0.6591068030191825,0.8952862594147506,1.0
154.0,0.0,1e-10,1.0
155.0,0.0,0.3303028827134962,0.14203675873487256
156.0,0.22005532905628217,0.6356243917437943,1.0
157.0,0.0,1e-10,1.0
158.0,1.0,20.0,0.9342487459768654
159.0,0.0,0.05025809304916023,0.6104422184387678
160.0,0.0,1e-10,1.0
161.0,0.0,1e-10,1.0
162.0,0.6052331094541455,0.4811264018967474,0.5196579751435696
163.0,1.0,0.04467018877781162,0.6095530137691638
164.0,0.0,1e-10,1.0
165.0,0.27796665177791885,0.5031990212596296,0.0
166.0,0.0,1e-10,1.0
167.0,0.47148642551848025,0.3025069165329568,0.019318477853850553
168.0,0.0,1e-10,1.0
169.0,0.0,1e-10,0.8564317536454894
170.0,0.4421351253107442,0.541252229859031,0.2354799615713607
171.0,0.0005336224273435263,16.553181999829672,0.0
172.0,0.1649234536025499,0.8481058704363681,1.0
173.0,0.0,0.020501032907984523,0.2682841743180196
