Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,iprobA,iprobB,iprobC
42.0,0.15123410814861205,0.953145422647677,0.34042858133842735,,,,0.6889612070338765,0.4865783576626638,0.0005620121806530261
43.0,0.31959656972641715,0.4460095144686087,0.3452795166349908,,,,0.6326271458232222,0.42573987431485094,0.07939468694576818
44.0,0.001303391275611739,0.8903061883573151,0.16547487321547025,,,,0.2905034095642062,0.00016056624762255094,0.8850214061485251
45.0,0.04909931955813229,0.1832255049164775,0.022679812335527516,,,,0.4069214922625046,0.1715941644843308,0.28312667751718845
46.0,0.03716129982885165,0.3472081019521599,0.7783802959074979,,,,0.5684981994361533,0.3919313796732901,0.0422371760371177
47.0,0.29536413478727336,0.36168038234294014,0.8942116903398103,,,,0.9207424126068696,0.24024035860006177,0.16535162515745272
48.0,0.10896958235400167,0.685156299057833,0.3620540410512766,,,,0.39169861882727547,0.08153151202665879,0.08203051116440674
49.0,0.6333754063871777,0.6101975606646252,0.20778982900040166,,,,0.9901975773945452,0.28423187780282433,0.14373541526264236
50.0,0.9799248935218152,0.35001151229725497,9.999999439624929e-11,,,,1.0,1.0,0.016219605370744312
51.0,0.008245481870395088,0.5238468403324795,0.04212600919635889,,,,0.6070787461705177,0.1838850837091691,0.50757632511095
52.0,0.00211917381290605,0.34184209268912225,0.13809382055454422,,,,0.14749483783311976,0.3428967218141005,0.10060038335035645
53.0,0.17468858938775322,0.5271319153240738,0.0036379664379375676,,,,0.23375544575780233,0.5017372083005518,0.25852922705942305
54.0,0.7592658277186586,0.03396303454991393,0.513380376915494,,,,0.18816379917393883,0.31677505650881704,0.16687219907818174
55.0,0.8705876945178554,0.3287073565493374,0.43098748225410094,,,,0.1592026539487338,0.9999999914569146,0.22652858888322663
56.0,0.004992036575606096,0.3566557357189919,0.2783422576507256,,,,0.48266003268173907,0.08529455195101225,0.12014718873595512
57.0,0.14133630275575404,0.21259404544377433,0.6550666118600601,,,,0.7258707613913916,0.38072067266382137,0.17521353017912045
58.0,0.17768576694836535,0.4631950451459975,0.21975410547686836,,,,0.6480709621279801,0.3407963212090915,0.03423334061221102
59.0,0.16712996567596178,0.3356861302297768,0.5148303139412561,,,,0.9915845283965637,0.46001666963390364,0.26865207191743745
60.0,0.025155015719639733,0.5559472049142524,0.13463287392199227,,,,0.77985958038827,0.0010621023213955173,0.00057640495784319
61.0,0.3973106087337336,0.43005539072806087,0.5591689930335604,,,,0.9645753832451927,0.07077845017312445,0.13695728141476848
62.0,0.10466390708664564,0.570799135887313,0.5876982232444903,,,,0.2471165987152192,0.16262145260061722,0.08806294950895949
63.0,0.1350824051341678,0.8350804882190986,0.13607447431029374,,,,0.47655887778122136,0.9003911209242041,0.010286319725467702
64.0,0.4535752873349017,0.27291331959750753,0.5988993875258406,,,,0.21398638089402267,0.5567567798747078,0.2526527092474176
65.0,0.21652603643311086,0.5819224301087392,0.5819060411887201,,,,0.4844658802666275,0.090338498685017,0.15613124162748795
66.0,0.15468833934340998,0.0593359389430731,0.9248139537767347,,,,0.5778673171941431,0.7769277541686223,0.4164692976521735
67.0,0.034522783637736816,0.3375409640376682,0.12086329532563456,,,,0.5654502995682822,0.06256259428589785,0.018068162963719735
68.0,0.006776937562550568,0.13076251680557519,0.3324088772693964,,,,0.36843738728452907,0.5720687246602287,0.23942705468645392
69.0,0.014001910524663819,0.1710595900207743,0.5453465051130607,,,,0.40790733256143846,0.48166069779794385,0.48367380257683484
70.0,0.021754638647212537,0.7013845457383743,0.5507270905958258,,,,0.5697175033100303,0.9071045209828136,3.569974041658673e-06
71.0,0.6550844310569908,0.3317077616137833,0.2758522570982903,,,,0.0,1.0,0.45173832883883364
72.0,0.20417480291104695,0.6195261975096649,0.5166326525101398,,,,0.38632563400712794,0.00959302021392139,0.10401622099480043
73.0,0.11792794133833118,0.3771659046814416,0.8390357654734708,,,,0.24978086973310654,0.2445093175805871,0.19785404129614925
74.0,0.5771253237699598,0.03806980257427696,0.16065637585514042,,,,0.9356636698603118,1.0,0.4868375480664272
75.0,0.09529883562928056,0.39658954670569363,0.39804971991775007,,,,0.7036153095867794,0.05746952138070926,0.04273729675814329
76.0,0.1512739801243933,0.41590446124954394,0.5839018269988738,,,,0.9636672209309622,0.4835051321822556,0.12555270091587684
77.0,0.14860837902413393,0.5386540359749795,0.45242729976945406,,,,0.9467626787839383,0.594055203905825,0.07437497617359937
