Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,0,1,0.4,0,3,28.0,1
0.0,0.0,0,3,0.4,0,3,29.0,1
0.0,0.0,0,3,0.4,2,3,30.0,0
0.0,0.0,0,4,0.4,2,3,31.0,0
0.0,0.0,0,1,0.4,2,3,32.0,0
0.0,0.0,0,4,0.4,1,3,33.0,0
0.0,0.0,0,4,0.4,2,3,34.0,0
0.0,0.0,0,4,0.4,1,3,35.0,1
0.0,0.0,0,4,0.4,0,3,36.0,1
0.0,0.0,0,1,0.4,0,3,37.0,1
0.0,0.0,0,1,0.4,0,3,38.0,1
0.0,0.0,0,3,0.4,2,3,39.0,0
0.0,0.0,0,1,0.4,0,3,40.0,1
0.0,0.0,0,2,0.4,0,3,41.0,1
0.0,0.0,0,4,0.4,0,3,42.0,1
0.0,0.0,0,3,0.4,0,3,43.0,1
0.0,0.0,0,2,0.4,1,3,44.0,1
0.0,0.0,0,3,0.4,2,3,45.0,0
0.0,0.0,0,1,0.6,2,4,1.0,0
0.0,0.0,0,3,0.6,1,4,2.0,1
0.0,0.0,0,4,0.6,1,4,3.0,0
0.0,0.0,0,2,0.6,0,4,4.0,1
0.0,0.0,0,1,0.6,1,4,5.0,1
0.0,0.0,0,2,0.6,0,4,6.0,1
0.0,0.0,0,1,0.6,1,4,7.0,1
0.0,0.0,0,2,0.6,2,4,8.0,0
0.0,0.0,0,4,0.6,0,4,9.0,1
0.0,0.0,0,3,0.6,0,4,10.0,1
0.0,0.0,0,4,0.6,0,4,11.0,1
0.0,0.0,0,4,0.6,1,4,12.0,0
0.0,0.0,0,1,0.6,2,4,13.0,0
0.0,0.0,0,3,0.6,2,4,14.0,0
0.0,0.0,0,3,0.6,2,4,15.0,0
0.0,0.0,0,2,0.6,0,4,16.0,1
0.0,0.0,0,2,0.6,0,4,17.0,1
0.0,0.0,0,4,0.6,0,4,18.0,1
0.0,0.0,0,1,0.6,0,4,19.0,1
0.0,0.0,0,2,0.6,2,4,20.0,1
0.0,0.0,0,1,0.6,1,4,21.0,1
0.0,0.0,0,3,0.6,2,4,22.0,0
0.0,0.0,0,3,0.6,0,4,23.0,1
0.0,0.0,0,1,0.6,1,4,24.0,1
0.0,0.0,0,3,0.6,1,4,25.0,0
0.0,0.0,0,4,0.6,2,4,26.0,0
0.0,0.0,0,4,0.6,2,4,27.0,0
0.0,0.0,0,2,0.6,2,4,28.0,0
0.0,0.0,0,4,0.6,1,4,29.0,0
0.0,0.0,0,4,0.6,0,4,30.0,1
0.0,0.0,0,3,0.6,2,4,31.0,0
0.0,0.0,0,2,0.6,0,4,32.0,1
0.0,0.0,0,3,0.6,2,4,33.0,0
0.0,0.0,0,1,0.6,1,4,34.0,0
0.0,0.0,0,2,0.6,0,4,35.0,1
0.0,0.0,0,1,0.6,2,4,36.0,0
0.0,0.0,0,1,0.6,2,4,37.0,0
0.0,0.0,0,2,0.6,1,4,38.0,0
0.0,0.0,0,4,0.6,1,4,39.0,1
0.0,0.0,0,1,0.6,1,4,40.0,1
0.0,0.0,0,3,0.6,1,4,41.0,1
0.0,0.0,0,4,0.6,0,4,42.0,1
0.0,0.0,0,2,0.6,2,4,43.0,0
0.0,0.0,0,2,0.6,0,4,44.0,1
0.0,0.0,0,4,0.6,1,4,45.0,1
0.0,0.0,0,4,0.8,1,5,1.0,0
0.0,0.0,0,1,0.8,1,5,2.0,0
0.0,0.0,0,2,0.8,2,5,3.0,0
0.0,0.0,0,2,0.8,0,5,4.0,1
0.0,0.0,0,4,0.8,1,5,5.0,1
0.0,0.0,0,2,0.8,1,5,6.0,0
0.0,0.0,0,2,0.8,0,5,7.0,1
0.0,0.0,0,1,0.8,0,5,8.0,1
0.0,0.0,0,3,0.8,1,5,9.0,0
0.0,0.0,0,2,0.8,1,5,10.0,1
0.0,0.0,0,4,0.8,1,5,11.0,0
0.0,0.0,0,4,0.8,0,5,12.0,1
0.0,0.0,0,1,0.8,0,5,13.0,1
0.0,0.0,0,3,0.8,2,5,14.0,0
0.0,0.0,0,2,0.8,0,5,15.0,1
0.0,0.0,0,4,0.8,2,5,16.0,0
0.0,0.0,0,4,0.8,2,5,17.0,0
0.0,0.0,0,4,0.8,1,5,18.0,0
0.0,0.0,0,1,0.8,0,5,19.0,1
0.0,0.0,0,1,0.8,0,5,20.0,1
0.0,0.0,0,2,0.8,2,5,21.0,0
0.0,0.0,0,2,0.8,0,5,22.0,1
0.0,0.0,0,3,0.8,0,5,23.0,1
0.0,0.0,0,3,0.8,2,5,24.0,0
0.0,0.0,0,4,0.8,0,5,25.0,1
0.0,0.0,0,3,0.8,0,5,26.0,1
0.0,0.0,0,3,0.8,2,5,27.0,0
0.0,0.0,0,4,0.8,2,5,28.0,0
0.0,0.0,0,3,0.8,2,5,29.0,0
0.0,0.0,0,3,0.8,2,5,30.0,1
0.0,0.0,0,2,0.8,2,5,31.0,0
0.0,0.0,0,4,0.8,1,5,32.0,1
0.0,0.0,0,3,0.8,2,5,33.0,0
0.0,0.0,0,1,0.8,1,5,34.0,0
0.0,0.0,0,3,0.8,1,5,35.0,1
0.0,0.0,0,2,0.8,2,5,36.0,0
0.0,0.0,0,1,0.8,2,5,37.0,0
0.0,0.0,0,3,0.8,0,5,38.0,1
0.0,0.0,0,3,0.8,1,5,39.0,0
0.0,0.0,0,3,0.8,1,5,40.0,0
0.0,0.0,0,3,0.8,0,5,41.0,1
0.0,0.0,0,1,0.8,1,5,42.0,0
0.0,0.0,0,2,0.8,1,5,43.0,1
0.0,0.0,0,1,0.8,2,5,44.0,0
0.0,0.0,0,3,0.8,0,5,45.0,1
0.0,0.0,0,2,1.0,0,6,1.0,0
0.0,0.0,0,1,1.0,1,6,2.0,0
0.0,0.0,0,1,1.0,2,6,3.0,0
0.0,0.0,0,2,1.0,0,6,4.0,1
0.0,0.0,0,2,1.0,1,6,5.0,0
0.0,0.0,0,3,1.0,1,6,6.0,0
0.0,0.0,0,3,1.0,2,6,7.0,0
0.0,0.0,0,1,1.0,2,6,8.0,0
0.0,0.0,0,3,1.0,0,6,9.0,1
0.0,0.0,0,4,1.0,2,6,10.0,0
0.0,0.0,0,2,1.0,2,6,11.0,0
0.0,0.0,0,3,1.0,0,6,12.0,1
0.0,0.0,0,3,1.0,1,6,13.0,0
0.0,0.0,0,1,1.0,0,6,14.0,1
0.0,0.0,0,2,1.0,2,6,15.0,0
0.0,0.0,0,4,1.0,1,6,16.0,1
0.0,0.0,0,2,1.0,1,6,17.0,1
0.0,0.0,0,3,1.0,2,6,18.0,0
0.0,0.0,0,4,1.0,2,6,19.0,0
0.0,0.0,0,4,1.0,2,6,20.0,0
0.0,0.0,0,1,1.0,1,6,21.0,1
0.0,0.0,0,2,1.0,1,6,22.0,0
0.0,0.0,0,1,1.0,1,6,23.0,0
0.0,0.0,0,4,1.0,0,6,24.0,1
0.0,0.0,0,1,1.0,1,6,25.0,1
0.0,0.0,0,4,1.0,1,6,26.0,0
0.0,0.0,0,4,1.0,0,6,27.0,1
0.0,0.0,0,3,1.0,2,6,28.0,0
0.0,0.0,0,2,1.0,0,6,29.0,1
0.0,0.0,0,3,1.0,0,6,30.0,1
0.0,0.0,0,3,1.0,2,6,31.0,0
0.0,0.0,0,4,1.0,0,6,32.0,1
0.0,0.0,0,2,1.0,0,6,33.0,1
0.0,0.0,0,1,1.0,1,6,34.0,1
0.0,0.0,0,4,1.0,1,6,35.0,0
0.0,0.0,0,4,1.0,1,6,36.0,0
0.0,0.0,0,3,1.0,2,6,37.0,0
0.0,0.0,0,3,1.0,2,6,38.0,0
0.0,0.0,0,3,1.0,0,6,39.0,1
0.0,0.0,0,2,1.0,1,6,40.0,1
0.0,0.0,0,2,1.0,0,6,41.0,1
0.0,0.0,0,3,1.0,2,6,42.0,0
0.0,0.0,0,2,1.0,0,6,43.0,1
0.0,0.0,0,2,1.0,0,6,44.0,1
0.0,0.0,0,2,1.0,2,6,45.0,1
0.0,0.0,4,2,0.0,2,7,1.0,0
0.0,0.0,4,2,0.0,1,7,2.0,0
0.0,0.0,4,3,0.0,1,7,3.0,1
0.0,0.0,4,3,0.0,0,7,4.0,1
0.0,0.0,4,4,0.0,0,7,5.0,0
0.0,0.0,4,2,0.0,2,7,6.0,0
0.0,0.0,4,4,0.0,2,7,7.0,0
0.0,0.0,4,4,0.0,0,7,8.0,1
0.0,0.0,4,4,0.0,0,7,9.0,1
0.0,0.0,4,3,0.0,0,7,10.0,1
0.0,0.0,4,4,0.0,2,7,11.0,0
0.0,0.0,4,2,0.0,1,7,12.0,1
0.0,0.0,4,2,0.0,0,7,13.0,0
0.0,0.0,4,1,0.0,2,7,14.0,0
0.0,0.0,4,2,0.0,1,7,15.0,1
0.0,0.0,4,3,0.0,2,7,16.0,0
0.0,0.0,4,4,0.0,1,7,17.0,1
0.0,0.0,4,3,0.0,1,7,18.0,1
0.0,0.0,4,4,0.0,1,7,19.0,1
0.0,0.0,4,1,0.0,0,7,20.0,1
0.0,0.0,4,3,0.0,1,7,21.0,0
0.0,0.0,4,3,0.0,0,7,22.0,1
0.0,0.0,4,4,0.0,0,7,23.0,1
0.0,0.0,4,4,0.0,1,7,24.0,0
0.0,0.0,4,3,0.0,2,7,25.0,0
0.0,0.0,4,1,0.0,1,7,26.0,1
0.0,0.0,4,3,0.0,1,7,27.0,0
0.0,0.0,4,4,0.0,0,7,28.0,1
