Subject,a_gain,a_loss,beta,decay
115.0,0.0,1.0,7.63121518395009,0.0
116.0,0.014620498662721176,1.0,20.0,1.0
117.0,-1.3877787807814457e-17,1.0,20.0,0.7057663289026186
118.0,1.0,0.7635924483568954,4.6710242112729174,1.0
119.0,0.13180964439877285,1.0,20.0,0.7828816195473164
120.0,0.0,1.0,20.0,0.7369795454643675
121.0,1.0,1.0,9.30995396226988,0.0
122.0,0.38481582359996447,1.0,16.560625148864744,0.0
123.0,0.5163114239925285,0.7852200040576931,0.05514437566371828,0.0
124.0,0.0,1.0,14.603302541398321,0.0
125.0,0.0,0.9999999999385748,5.2856581601247115,0.7020259712276207
126.0,0.0,1.0,0.2246654577657551,0.0
127.0,0.07998890359462854,1.0,2.15454441830474,0.0
128.0,0.0,1.0,7.364770083044588,0.0
129.0,0.0,0.8170892799289026,12.933379220385268,0.10574288335674398
130.0,0.0,0.7277803145451468,1e-10,1.0
131.0,0.008026124153472855,0.006993623277953332,20.0,0.0
132.0,0.0,1.0,20.0,0.9087872253424816
133.0,0.0,0.31780846944981944,1e-10,1.0
134.0,0.0,1.0,7.654810301903416,0.0
135.0,0.0009537292982429216,1.0,20.0,0.0
136.0,0.0,1.0,20.0,0.533430583031362
137.0,0.0,1.0,20.0,0.7703116250676225
138.0,1.0,0.0,20.0,0.9930097610748619
139.0,0.7562811643394398,1.0,4.677589713398616,0.0
140.0,1.0,0.10013941687040362,0.13987254506405217,1.0
141.0,0.0,1.0,11.526119308114609,0.0
142.0,0.0,0.051610359135409456,1e-10,1.0
143.0,0.018139836649471774,0.03048384824743909,20.0,0.0
144.0,0.0,1.0,14.43044488676587,0.0
145.0,0.0,0.002261158573978625,20.0,-6.938893903907228e-18
146.0,0.0,0.02803208175078382,6.769055036808439,0.14143241680855456
147.0,0.2620181564832964,0.17142027372707463,0.7224252470780793,1.0
148.0,0.0,1.0,20.0,0.9224819275227893
149.0,0.9917185361674485,0.0,7.858530525573643,0.3348698696448033
150.0,0.0,0.9810113016515921,0.4574238696966682,1.0
151.0,0.0,1.0,20.0,0.4432534031966177
152.0,0.0,1.0,6.849031683432113,0.0
153.0,0.0037608334170578604,1.0,20.0,0.9053942415796721
154.0,0.0,1.0,17.688954190624056,0.0
155.0,0.957397730948601,1.0,6.627558310037164,1.0
156.0,0.0,0.999999935996347,20.0,1.0
157.0,0.0,0.26506005057621124,20.0,0.0
158.0,0.0,1.0,15.240088210177634,0.0
159.0,0.03712795078962918,1.0,8.616797381196237,0.3387852778145372
160.0,0.0,0.7763293855511025,20.0,0.05891957602242959
161.0,0.005543069581875292,1.0,20.0,0.9082551488985313
162.0,0.8180733098124604,1.0,10.55874824003927,0.9867529603852623
163.0,0.0,1.0,10.528155357040161,0.0
164.0,0.0,0.8785244863539711,5.527997559325748,0.28818758323411103
165.0,0.0,1.0,6.296493557343065,0.22437492064007047
166.0,0.006660822214071315,1.0,20.0,0.6530787625892033
167.0,1.0,0.45918153987184696,20.0,0.8017369815891248
168.0,0.012248277822191659,0.5646315616831495,11.419766461528122,1.0
169.0,1.0,1.0,14.49941990797369,0.0
170.0,1.0,0.9253368893904343,0.13987253821636897,0.0
171.0,0.007050770078761213,1.0,3.8382233385669142,0.0
172.0,0.004277347918599288,1.0,20.0,0.0
173.0,0.007717643907738619,1.0,5.7878551550978,0.0
174.0,0.0,0.5085849040882324,1e-10,1.0
175.0,0.022767454494851205,1.0,3.771555643682663,0.0
176.0,0.0077404468767813,1.0,5.771779397114745,0.0
177.0,0.0033305428374276794,0.655105945896011,20.0,0.0
178.0,0.025871754795830516,1.0,20.0,0.6698559542151746
179.0,0.0,1.0,1.5149912973038533,0.6226452051667541
180.0,1.0,0.5523002240595941,15.222913462124058,0.6408431778899885
181.0,0.0,0.196094584587182,0.7132911745248978,0.0
182.0,1.0,0.01202408846266874,17.14737537332956,0.0
183.0,0.0019572276466199145,0.0,20.0,0.0
184.0,1.0,0.0,20.0,0.8311028245074695
185.0,0.6897439136079375,0.23944029339086725,0.20278908135211524,1.0
186.0,0.00335394040686145,0.7384099487402326,20.0,0.2546648709293257
187.0,0.029180911118845267,1.0,20.0,0.4985792260746111
188.0,0.7091087121303215,1.0,17.608639290686874,0.0
189.0,1.0,1.0,16.188458469547534,0.0
190.0,0.0,1.0,20.0,0.0
191.0,0.0069936243554909825,1.0,20.0,0.9165727695974976
192.0,0.1722440788769286,0.16169634071252084,20.0,0.9576737884626563
193.0,0.0,1.0,20.0,0.10902659307159779
194.0,1.0,0.15301094719080477,0.06743666437776231,0.0
195.0,0.03420713876939013,1.0,20.0,0.3689525522867722
196.0,1.0,1.0,20.0,0.9999999987649485
197.0,0.0046930893181216906,1.0,20.0,0.9176744266656085
198.0,1.0,1.0,20.0,0.9553535703118113
199.0,0.0,1.0,4.813964002798707,0.011830815722153706
200.0,0.00777041254308544,1.0,20.0,0.0
201.0,0.0,0.6545836169753398,20.0,0.0
202.0,0.023404038630406982,1.0,5.975584487878693,0.0
203.0,0.8557875196118064,1.0,20.0,0.8861570698165129
204.0,0.0,1.0,13.128358345974004,0.0
205.0,0.0,1.0,9.637867762406039,-1.1102230246251565e-16
206.0,0.011423457372154507,1.0,20.0,0.5447308038383762
207.0,0.7757311376144526,1.0,12.950965138417507,0.0
