Subject,alpha,beta
159.0,1.0,6.536392939483785
160.0,1.0,9.339476338414098
161.0,1.0,10.91302337831194
162.0,1.0,12.235678305859198
163.0,1.0,14.002454941480499
164.0,1.0,10.111366549298745
165.0,0.414641472956298,0.81355510241906
166.0,1.0,12.326813123214459
167.0,1.0,11.547347184083451
168.0,1.0,13.621321279047933
169.0,1.0,13.377425167951847
170.0,1.0,7.67266348616813
171.0,1.0,16.28013099390927
172.0,1.0,11.918957164149983
173.0,1.0,11.428888688485916
174.0,1.0,13.983860649982947
175.0,1.0,13.573597445079203
176.0,1.0,12.890965154171326
177.0,1.0,0.4487379782472476
178.0,1.0,12.537388478545841
179.0,0.05902481501114014,20.0
180.0,0.9439413876376663,13.084899893679234
181.0,0.9427648984388326,14.545915007713893
182.0,1.0,14.63982042177513
183.0,0.18417078635352793,20.0
184.0,1.0,15.174862664002825
185.0,0.04919271862006384,20.0
186.0,1.0,8.003672516914929
187.0,1.0,12.283432395724411
188.0,1.0,8.398108831432396
189.0,1.0,14.79014243686024
190.0,0.047139537365123885,20.0
191.0,1.0,10.863281716581694
192.0,1.0,10.749871203950361
193.0,1.0,12.393680114638737
194.0,1.0,16.825599183764854
195.0,1.0,10.419811375067386
196.0,1.0,12.963625644135687
197.0,0.22956029379248033,20.0
198.0,1.0,14.755014629116234
199.0,1.0,15.002539490145281
200.0,1.0,13.053938819069122
201.0,1.0,15.728378309442654
202.0,1.0,11.912234247502996
203.0,1.0,13.603907375885266
204.0,0.18477568261351396,20.0
205.0,1.0,12.680913694900266
206.0,1.0,11.238254901055988
207.0,0.18477569510516537,20.0
208.0,1.0,18.681373292931283
209.0,1.0,12.53148859759171
210.0,1.0,6.618986924905309
211.0,1.0,11.05789399227741
212.0,1.0,11.65377453471049
213.0,1.0,14.820641575815317
214.0,0.9833432004475041,12.931835259516543
215.0,1.0,13.309654310512844
216.0,0.5383628861883762,0.218954949373669
217.0,0.9861507149548876,16.822983941546507
218.0,1.0,13.443037622684749
219.0,1.0,10.939879713557703
220.0,0.998358984944693,10.667645721182923
