Subject,alpha,beta
344.0,0.3295279364925127,0.42446337731794254
345.0,0.0,1e-10
346.0,0.43672071784488153,1.0275170464543855
347.0,0.0,1e-10
348.0,0.5247051788660949,0.642901407453308
349.0,0.0,1e-10
350.0,0.06211952027037739,0.7191007421170232
351.0,0.0,1e-10
352.0,0.0,1e-10
353.0,0.0022459317688159476,20.0
354.0,0.0,0.433846033485809
355.0,0.0,1e-10
356.0,0.0,1e-10
357.0,0.0,1e-10
358.0,0.8973579717526969,0.1558715130537088
359.0,0.0,1e-10
360.0,0.0,1e-10
361.0,0.0,1e-10
362.0,0.0,0.39854254862254224
363.0,0.0,1e-10
364.0,0.0,1e-10
365.0,0.0,1e-10
366.0,0.0,1e-10
367.0,0.01208451573915544,20.0
368.0,0.0,1e-10
369.0,0.0,1e-10
370.0,0.0,1e-10
371.0,0.006784752212017602,20.0
372.0,0.01208451532350647,20.0
373.0,0.0,1e-10
374.0,1.0,0.3373336982062248
375.0,0.0,1e-10
376.0,0.0,1e-10
377.0,0.0008970203030331529,20.0
378.0,0.6448981514522646,0.5230805725944527
379.0,0.46398120881779253,0.7270417241668068
380.0,0.005073812697056648,20.0
381.0,0.2896972386249549,0.48282314678413224
382.0,0.0,1e-10
383.0,0.0,1e-10
384.0,0.0,0.5636349914776329
385.0,1.0,0.33733369258876694
386.0,0.0,1e-10
387.0,0.0,1e-10
388.0,1.0,0.1398725384814779
389.0,0.26928743111011627,0.5194172386649922
390.0,0.0,1e-10
391.0,0.15011069898592364,0.9317959396780683
392.0,0.0,1e-10
393.0,0.0,1e-10
394.0,0.08867250118418107,20.0
395.0,0.0,1e-10
396.0,0.0,1e-10
397.0,0.2940365379388364,0.47569782018041673
398.0,0.0,1e-10
399.0,0.7421842329421312,0.29702128007151873
400.0,0.0,1e-10
401.0,1.0,0.13987254355574982
402.0,0.0,1e-10
403.0,0.004722375840974252,20.0
404.0,0.0,1e-10
405.0,0.0,1e-10
406.0,0.3353346265915421,1e-10
407.0,0.0,1e-10
408.0,0.0,1e-10
409.0,0.6314378453680187,0.22151435492061491
410.0,0.002925033652859107,20.0
411.0,0.0,1e-10
412.0,0.0,1e-10
413.0,0.0,1e-10
414.0,0.0,0.3639271991250371
415.0,0.942476555150431,0.07038516268076811
416.0,0.007770413247377137,20.0
417.0,0.0,1e-10
418.0,0.0,0.7745397069941293
