Subject,alpha,beta,decay
96.0,0.4066347177269007,13.190826855110485,1.0
97.0,0.21057191843911,0.6642506842931492,0.0
98.0,1.0,0.19435665371551658,0.0
99.0,1.0,4.431812407579954,1.0
100.0,1.0,6.231295859231736,0.0
101.0,1.0,0.19435665399311997,0.0
102.0,0.6287971112852667,1e-10,1.0
103.0,0.5717870401273152,0.45099568680514535,1.0
104.0,1.0,15.219577468978695,0.0
105.0,0.5077261958392058,0.50789875386606,0.0
106.0,0.2804431394446568,0.29004808851042774,0.0
107.0,1.0,20.0,0.8877656204434123
108.0,0.0,1e-10,0.9268744154063175
109.0,0.015429410002060821,20.0,0.6129066179755399
110.0,0.0,1e-10,1.0
111.0,1.0,0.04467018710006926,0.0
112.0,0.3749032478079913,0.37308970967908883,1.0
113.0,0.0,0.08950889012073981,0.9933179292961928
114.0,1.0,0.09074174620084152,0.0
115.0,1.0,8.342563022205589,1.0
116.0,0.01995053785322341,20.0,1.0
117.0,1.0,5.975336434309295,1.0
118.0,0.9019145929333714,5.381565004314952,1.0
119.0,1.0,20.0,0.7828816356499857
120.0,1.0,0.026715163390868095,0.0
121.0,1.0,10.998886225325956,0.0
122.0,1.0,13.014555913013272,0.0
123.0,0.5163080891147218,0.05514492244969842,0.0
124.0,1.0,0.04467018357421708,0.0
125.0,1.0,4.440303288444263,1.0
126.0,1.0,0.13987254261493023,0.0
127.0,1.0,0.5291336393960128,0.0
128.0,0.49746356478604326,0.6781073347648235,0.0
129.0,1.0,0.13987255089025052,2.577784833205379e-08
130.0,0.6652286850502535,0.9144550925409718,1.0
131.0,0.00779204500364446,20.0,0.0
132.0,0.0,1e-10,0.5774662770829638
133.0,0.0,1e-10,1.0
134.0,0.9025857597110685,5.413623255820047,1.0
135.0,1.0,0.13987254749459524,0.0
136.0,1.0,0.04467018727487404,0.0
137.0,1.0,1.672580076830665,0.6917331850012078
138.0,1.0,20.0,0.9933170725223551
139.0,1.0,20.0,0.0
140.0,0.7346298577365595,0.1903986545480196,1.0
141.0,1.0,0.4487379792727533,0.0
142.0,0.0,1e-10,0.782977729128214
143.0,0.025052928872456182,20.0,0.0
144.0,0.5825194317432563,0.5790943309389696,1.0
145.0,0.0,1e-10,1.0
146.0,0.0,1e-10,1.0
147.0,0.0,0.12845621837266857,1.0
148.0,0.0,1e-10,0.0
149.0,1.0,0.08134187771250542,0.0
150.0,0.016207067790604903,20.0,1.0
151.0,1.0,0.03505591039260916,0.6755648058678128
152.0,1.0,0.2871649916065789,0.0
153.0,1.0,0.14142883772568823,0.7141346251167365
154.0,1.0,1.4585110369713692,0.7359210275047092
155.0,0.9559528782265968,6.49030560184527,1.0
156.0,0.03148774549244096,2.1416796599983288,0.0
157.0,0.0,1e-10,1.0
158.0,1.0,0.25787350023736216,0.0
159.0,1.0,20.0,0.9134265497644082
160.0,0.0,1e-10,0.0
161.0,1.0,0.13987253443923994,1.6396549719399948e-09
162.0,1.0,7.187247238224968,0.9805390980533253
163.0,0.41885513006743835,0.6156627519847464,0.0
164.0,0.03541551187968272,1e-10,1.0
165.0,1.0,0.06743666398492879,0.0
166.0,1.0,0.350738833557694,0.2023615823180838
167.0,1.0,20.0,0.8149499868788488
168.0,0.6034370181119387,0.7436367855329933,1.0
169.0,1.0,16.367401251534105,0.0
170.0,1.0,0.13987254302301985,0.0
171.0,1.0,0.1943566527286047,0.0
172.0,1.0,0.33733369107189026,0.0
173.0,1.0,0.20618104560708903,0.0
174.0,0.0,1e-10,1.0
175.0,1.0,0.4487379817988305,0.0
176.0,1.0,0.2061810424718318,0.0
177.0,0.003330543084155983,20.0,0.0
178.0,0.4739665432585787,0.5572904273320383,0.3694102595557679
179.0,1.0,4.439723443389886,1.0
180.0,0.999561746932458,18.11550623458359,0.7035382965232755
