Subject,alpha,beta,decay
74.0,0.0,0.08818166598741937,0.7955443814600612
75.0,0.10698117791887576,3.153205934145405,1.0
76.0,0.5926727998262538,0.5691735903295793,1.0
77.0,0.0,1e-10,1.0
78.0,0.06078294061075108,20.0,0.41904186475448807
79.0,0.0,0.13336403973058003,1.0
80.0,1.0,1.2447301312602934,0.8807811175110312
81.0,0.04038467064553824,1.1264854949779786,0.0
82.0,0.19465298807863163,0.9488394218481427,0.4646638961480669
83.0,0.0,1e-10,1.0
84.0,0.37712590025387627,0.5011180095730042,1.0
85.0,1.0,0.06743666242416074,0.0
86.0,0.0,1e-10,1.0
87.0,0.017553959277702445,20.0,0.14209441731547745
88.0,0.0,1e-10,1.0
89.0,0.660745430226166,0.4318942778195223,0.5098592037517999
90.0,1.0,0.026715054707801965,0.0
91.0,1.0,0.13987253801674812,0.0
92.0,1.0,0.09074174451192424,0.0
93.0,0.0017833059127954432,20.0,0.0
94.0,1.0,0.20618104840552243,0.0
95.0,1.0000000000000002,0.06743666173403393,1.0
96.0,0.0024824115491559645,20.0,0.0
97.0,0.0,0.4686018171683518,0.3737055683764861
98.0,1.0,12.351801836644757,1.0
99.0,0.005030096375294719,20.0,0.43431201646832795
100.0,0.002302563184112618,20.0,0.0
101.0,1.0,6.347527579819713,1.0
102.0,0.01995053943906748,20.0,0.7613660055366513
103.0,1.0,20.0,0.9930601352169158
104.0,0.0022086347855168305,20.0,1.0
105.0,0.01119514826235795,20.0,0.6881066406273704
106.0,1.0,0.0674366637002291,0.0
107.0,0.0,1e-10,1.0
108.0,1.0,0.22466545830233572,0.0
109.0,0.004697443169638683,20.0,0.0
110.0,0.0,1e-10,0.8938220760403831
111.0,1.0000000000000002,0.1398725399949904,0.0
112.0,0.007989039142031031,20.0,1.0
113.0,1.0,0.2246654682164403,-1.1102230246251565e-16
114.0,0.15401234161082053,0.9081904323664765,1.0
115.0,0.0,1e-10,1.0
116.0,1.0,20.0,0.983139165475197
117.0,1.0,0.06743666429446561,0.8772910352454009
118.0,0.0007407856897280664,20.0,0.0
119.0,0.0,1e-10,1.0
120.0,0.10936737679428914,0.7437490620324103,0.0
121.0,0.0025998014810048996,20.0,0.0
122.0,0.010898713758153456,20.0,1.0
