Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC
40.0,0.14227887224825556,0.11504293991277277,0.8102111455311989,0.3780148051929698,0.9198919274029765,0.2408757473479865
41.0,0.9725191529442254,0.5047861302968037,0.5443949283887852,0.9999999997166,0.14817646225960462,0.16902845473428463
42.0,0.23344074580197183,0.6161940204955216,0.4160555193259222,0.9715805743597146,0.7140809911441656,0.3369808982809315
43.0,0.07930184874173203,0.5465442189570043,0.6666472009563451,0.6979422853773027,0.8960759998036166,0.04116527618018101
44.0,0.9840616392191954,0.41206465996197456,0.8386100719281786,0.5878737873376656,0.07791734332225449,0.5840374659148762
45.0,0.25466560145813316,0.7360536022319837,0.7088874326198309,0.9714711372340523,0.8555527136750842,0.004918457380207568
46.0,0.6573145960138898,0.46582573273167327,0.34200252806912645,0.9494732362014878,0.26066161153742917,0.22609709860219537
47.0,0.9411431449791505,0.23013576986550305,0.9882325312804221,1.0,1.0,0.28503447386566666
48.0,0.32240160371103177,0.2073134901866256,0.8573474259714737,0.653256770684386,0.6646655361514899,0.31250824313260606
49.0,0.180293729051471,0.45037264553792156,0.7353523477529085,0.9428974015099327,0.26327554912229156,0.22094196333627997
50.0,0.4235471483421451,0.2748263250560088,0.38504483984905297,0.8160187573908869,0.5276148699667772,0.0056983082890191715
51.0,0.06567953313451684,0.2918590302313483,0.8289575959946918,1.0,0.6607430718343308,0.0
52.0,0.16384629596698014,0.09610357467620062,0.5345290600779932,0.9886527657967565,0.023380632688533173,0.49770913942847184
53.0,0.5313405637221897,0.43698098210057407,0.978169321839594,0.9998996131691148,0.4123702504200175,0.09701341530595484
54.0,0.7770485959600353,0.2535189748552886,0.8928547740077962,0.9999999998935358,0.15175380642477904,0.34723946750721507
55.0,0.7407883418552591,0.1536517489719323,0.6499397597729917,0.8457589091434261,0.306265503036236,0.12952010060155394
56.0,0.19399880144463488,0.9789942926111481,0.35828985916761014,0.8326706754448314,0.7874670132155848,9.977112958492376e-05
57.0,0.5005592117224362,0.08852847799904005,0.9097077863008647,0.8854210193132466,0.24246784527748644,0.2815730974569976
58.0,0.3992557102195549,0.38374378860595504,0.9122052366562036,0.9978149642645259,0.23259589545000783,0.18954768011827844
59.0,0.1420561755510752,0.5178763431125993,0.8622642772316435,0.7778848536945943,0.8305395862757822,0.2369313848378945
60.0,0.23891122212968893,0.14346328804782538,0.43689548126586863,0.9144623923807988,0.8095075494207478,0.3460642904131602
61.0,0.532196664521232,0.3113583333338275,0.7117444981778122,0.9957101528866779,0.41576076147941887,0.5120234937358616
62.0,0.8721559264919281,0.3917490876736165,0.8522964513801481,0.9999997349092166,0.2064307392797996,0.07813367960999551
63.0,0.7566885364970168,0.35895587858629674,0.3856642099133132,0.9999708414739937,0.031372466561551654,0.4011882408481927
64.0,0.879862382902767,0.5052206233690503,0.7195335724814577,0.9999999564824982,0.22193219476759846,0.10351955507527696
65.0,0.6972575021242409,0.5328916494980303,0.2667839791894797,0.9993724242080346,0.15978626556547684,0.1079552532989166
66.0,0.8621806787825044,0.014713898463556797,0.2752137015433757,0.9999999999997713,0.9829741350022959,2.0512273759160294e-07
67.0,0.8474234687988598,0.3448061005379736,0.6683453082441256,0.9999999554535224,0.15696865780610744,0.17265384806953524
68.0,0.7391065595726815,0.12469569446979414,0.6969155940282661,0.9999999938856678,0.2674885709056113,0.08140511324875847
69.0,0.23150109519842937,0.24104246154487113,0.8420250103944874,0.7077985360471613,0.9906435694241285,0.2037433873266875
70.0,0.027872728241359092,0.1634612552411295,0.8088354568069607,0.0493062604990103,0.20871998122778607,0.10716123629622082
71.0,0.32760706870209777,0.4193823384359001,0.5319278924467934,0.8651593468735257,0.35863072611657837,0.3241519614078944
72.0,0.11130633843813255,0.49113631870124097,0.6163377054179722,0.9004410589149671,0.07865082143296923,0.6147948821802081
73.0,0.4679338946927749,0.7782850605993739,0.5846009423442348,0.03138925816670382,0.03526464291649212,0.018548952582415637
74.0,0.16001806706115027,0.5464257180835568,0.4349567247799019,0.9613069700402711,0.927369398185744,0.07406134951705448
75.0,0.8207806203369278,0.26681203787823565,0.5563551161003685,0.9999721101722987,0.529438613572956,0.22216840408588223
76.0,0.9237739674490589,0.3446984704624524,0.6283132913410596,0.999974844008294,0.4279928762126265,0.16646582642267882
77.0,0.32688538482231694,0.3675962053547849,0.6309194235816056,0.9894927065388589,0.9963041909415982,0.15574476448428315
78.0,0.4149832422607056,0.6305710630289406,0.6945006723815055,0.9995889189940699,0.08763271193682592,0.20884046209532559
79.0,0.13098332209664404,0.01090042131495958,0.7128379544840034,0.9999966617565265,0.9433751382214536,0.18457731966924154
80.0,0.034756761297945665,0.9925029940791602,0.7322923461673383,0.6105098563687147,0.9573885493326268,6.520820407510557e-12
81.0,0.013808802507764395,0.727265129322229,0.6867018902751245,0.5702279734713088,0.03914809026474131,0.04465173917427996
