Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
4,2,1,0,61,0.0,0,0.6
5,1,2,0,61,0.0,0,0.6
6,1,3,1,61,0.0,0,0.6
7,0,2,1,61,0.0,0,0.6
8,0,3,1,61,0.0,0,0.6
9,1,4,1,61,0.0,0,0.6
10,0,3,1,61,0.0,0,0.6
11,1,4,1,61,0.0,0,0.6
12,1,4,1,61,0.0,0,0.6
13,1,1,0,61,0.0,0,0.6
14,2,2,0,61,0.0,0,0.6
15,1,1,0,61,0.0,0,0.6
16,1,2,0,61,0.0,0,0.6
17,2,2,0,61,0.0,0,0.6
18,1,4,1,61,0.0,0,0.6
19,0,4,1,61,0.0,0,0.6
20,0,1,1,61,0.0,0,0.6
21,2,1,0,61,0.0,0,0.6
22,0,3,1,61,0.0,0,0.6
23,2,2,1,61,0.0,0,0.6
24,2,4,0,61,0.0,0,0.6
25,2,3,1,61,0.0,0,0.6
26,1,1,0,61,0.0,0,0.6
27,2,1,0,61,0.0,0,0.6
28,2,4,0,61,0.0,0,0.6
29,2,4,0,61,0.0,0,0.6
30,1,4,0,61,0.0,0,0.6
31,1,4,1,61,0.0,0,0.6
32,0,3,1,61,0.0,0,0.6
33,0,1,1,61,0.0,0,0.6
34,1,1,0,61,0.0,0,0.6
35,2,1,0,61,0.0,0,0.6
36,2,4,0,61,0.0,0,0.6
37,0,4,1,61,0.0,0,0.6
38,0,4,1,61,0.0,0,0.6
39,2,2,0,61,0.0,0,0.6
40,0,1,1,61,0.0,0,0.6
41,2,3,0,61,0.0,0,0.6
42,0,4,1,61,0.0,0,0.6
43,2,2,0,61,0.0,0,0.6
44,0,3,1,61,0.0,0,0.6
45,1,3,1,61,0.0,0,0.6
1,0,3,1,71,0.0,0,0.7
2,2,1,0,71,0.0,0,0.7
3,1,4,0,71,0.0,0,0.7
4,1,4,1,71,0.0,0,0.7
5,1,1,0,71,0.0,0,0.7
6,0,4,1,71,0.0,0,0.7
7,1,1,0,71,0.0,0,0.7
8,1,2,1,71,0.0,0,0.7
9,0,4,1,71,0.0,0,0.7
10,2,3,0,71,0.0,0,0.7
11,2,1,0,71,0.0,0,0.7
12,1,3,1,71,0.0,0,0.7
13,2,3,0,71,0.0,0,0.7
14,2,1,0,71,0.0,0,0.7
15,0,2,1,71,0.0,0,0.7
16,1,4,1,71,0.0,0,0.7
17,0,3,1,71,0.0,0,0.7
18,1,2,1,71,0.0,0,0.7
19,0,3,1,71,0.0,0,0.7
20,2,1,0,71,0.0,0,0.7
21,2,3,0,71,0.0,0,0.7
22,0,3,1,71,0.0,0,0.7
23,0,2,0,71,0.0,0,0.7
24,1,3,1,71,0.0,0,0.7
25,2,1,0,71,0.0,0,0.7
26,2,3,0,71,0.0,0,0.7
27,0,3,1,71,0.0,0,0.7
28,1,2,1,71,0.0,0,0.7
29,0,1,1,71,0.0,0,0.7
30,0,3,0,71,0.0,0,0.7
31,2,4,0,71,0.0,0,0.7
32,0,3,1,71,0.0,0,0.7
33,1,1,1,71,0.0,0,0.7
34,2,3,0,71,0.0,0,0.7
35,2,4,0,71,0.0,0,0.7
36,2,3,0,71,0.0,0,0.7
37,2,3,0,71,0.0,0,0.7
38,1,3,0,71,0.0,0,0.7
39,0,1,1,71,0.0,0,0.7
40,1,4,1,71,0.0,0,0.7
41,1,1,0,71,0.0,0,0.7
42,0,1,1,71,0.0,0,0.7
43,1,1,1,71,0.0,0,0.7
44,0,2,1,71,0.0,0,0.7
45,2,3,0,71,0.0,0,0.7
1,2,3,1,81,0.0,0,0.8
2,2,4,0,81,0.0,0,0.8
3,0,4,1,81,0.0,0,0.8
4,1,4,1,81,0.0,0,0.8
5,0,3,1,81,0.0,0,0.8
6,2,3,0,81,0.0,0,0.8
7,2,2,0,81,0.0,0,0.8
8,1,1,0,81,0.0,0,0.8
9,1,3,1,81,0.0,0,0.8
10,1,3,1,81,0.0,0,0.8
11,0,4,1,81,0.0,0,0.8
12,1,4,0,81,0.0,0,0.8
13,0,4,1,81,0.0,0,0.8
14,1,2,0,81,0.0,0,0.8
15,0,4,1,81,0.0,0,0.8
16,0,3,0,81,0.0,0,0.8
17,2,2,0,81,0.0,0,0.8
18,2,4,0,81,0.0,0,0.8
19,0,3,1,81,0.0,0,0.8
20,1,1,1,81,0.0,0,0.8
21,0,4,1,81,0.0,0,0.8
22,2,3,0,81,0.0,0,0.8
23,0,1,0,81,0.0,0,0.8
24,0,3,1,81,0.0,0,0.8
25,1,2,1,81,0.0,0,0.8
26,1,3,0,81,0.0,0,0.8
27,2,2,0,81,0.0,0,0.8
28,2,3,1,81,0.0,0,0.8
29,2,4,0,81,0.0,0,0.8
30,0,4,1,81,0.0,0,0.8
31,1,1,1,81,0.0,0,0.8
32,2,4,0,81,0.0,0,0.8
33,0,2,1,81,0.0,0,0.8
34,0,4,1,81,0.0,0,0.8
35,2,3,0,81,0.0,0,0.8
36,1,4,0,81,0.0,0,0.8
37,1,4,1,81,0.0,0,0.8
38,2,4,0,81,0.0,0,0.8
39,2,1,0,81,0.0,0,0.8
40,1,1,1,81,0.0,0,0.8
41,1,1,0,81,0.0,0,0.8
42,2,2,0,81,0.0,0,0.8
43,1,1,1,81,0.0,0,0.8
44,0,3,1,81,0.0,0,0.8
45,0,4,1,81,0.0,0,0.8
1,0,3,0,91,0.0,0,0.9
2,2,4,0,91,0.0,0,0.9
3,1,4,0,91,0.0,0,0.9
4,2,3,0,91,0.0,0,0.9
5,2,3,0,91,0.0,0,0.9
6,2,2,0,91,0.0,0,0.9
7,0,2,1,91,0.0,0,0.9
8,2,1,0,91,0.0,0,0.9
9,0,1,1,91,0.0,0,0.9
10,2,2,0,91,0.0,0,0.9
11,2,4,1,91,0.0,0,0.9
12,1,1,0,91,0.0,0,0.9
13,1,4,0,91,0.0,0,0.9
14,1,4,0,91,0.0,0,0.9
15,2,4,0,91,0.0,0,0.9
16,1,4,0,91,0.0,0,0.9
17,1,4,0,91,0.0,0,0.9
18,1,3,1,91,0.0,0,0.9
19,0,1,1,91,0.0,0,0.9
20,0,4,1,91,0.0,0,0.9
21,2,4,0,91,0.0,0,0.9
22,0,2,1,91,0.0,0,0.9
23,2,1,0,91,0.0,0,0.9
24,1,1,0,91,0.0,0,0.9
25,0,2,1,91,0.0,0,0.9
26,2,3,0,91,0.0,0,0.9
27,1,2,1,91,0.0,0,0.9
28,2,1,0,91,0.0,0,0.9
29,2,4,0,91,0.0,0,0.9
30,1,3,1,91,0.0,0,0.9
31,2,4,0,91,0.0,0,0.9
32,2,1,0,91,0.0,0,0.9
33,1,3,0,91,0.0,0,0.9
34,1,3,1,91,0.0,0,0.9
35,0,3,1,91,0.0,0,0.9
36,1,1,1,91,0.0,0,0.9
37,1,2,1,91,0.0,0,0.9
38,0,3,1,91,0.0,0,0.9
39,0,2,1,91,0.0,0,0.9
40,0,3,1,91,0.0,0,0.9
41,0,3,1,91,0.0,0,0.9
42,1,4,1,91,0.0,0,0.9
43,0,4,1,91,0.0,0,0.9
44,0,4,1,91,0.0,0,0.9
45,0,3,0,91,0.0,0,0.9
1,0,4,1,101,0.0,0,1.0
2,2,1,0,101,0.0,0,1.0
3,1,2,0,101,0.0,0,1.0
4,0,4,0,101,0.0,0,1.0
5,0,1,1,101,0.0,0,1.0
6,0,2,1,101,0.0,0,1.0
7,2,2,0,101,0.0,0,1.0
8,2,1,0,101,0.0,0,1.0
9,1,2,0,101,0.0,0,1.0
10,1,3,0,101,0.0,0,1.0
11,2,4,1,101,0.0,0,1.0
12,2,1,0,101,0.0,0,1.0
13,2,3,0,101,0.0,0,1.0
14,1,1,0,101,0.0,0,1.0
15,2,2,0,101,0.0,0,1.0
16,2,2,0,101,0.0,0,1.0
17,1,3,1,101,0.0,0,1.0
18,0,4,1,101,0.0,0,1.0
19,1,4,1,101,0.0,0,1.0
20,2,1,0,101,0.0,0,1.0
21,0,3,0,101,0.0,0,1.0
22,0,3,1,101,0.0,0,1.0
23,2,2,0,101,0.0,0,1.0
24,0,4,1,101,0.0,0,1.0
25,2,1,0,101,0.0,0,1.0
26,2,2,0,101,0.0,0,1.0
27,0,1,1,101,0.0,0,1.0
28,1,3,0,101,0.0,0,1.0
29,0,2,1,101,0.0,0,1.0
30,1,1,0,101,0.0,0,1.0
31,1,1,0,101,0.0,0,1.0
32,1,1,0,101,0.0,0,1.0
33,0,4,1,101,0.0,0,1.0
34,1,3,1,101,0.0,0,1.0
35,0,3,1,101,0.0,0,1.0
36,0,3,1,101,0.0,0,1.0
37,0,2,1,101,0.0,0,1.0
38,1,2,0,101,0.0,0,1.0
39,1,2,1,101,0.0,0,1.0
40,2,2,0,101,0.0,0,1.0
41,1,1,0,101,0.0,0,1.0
42,2,1,1,101,0.0,0,1.0
43,1,2,1,101,0.0,0,1.0
44,2,3,0,101,0.0,0,1.0
45,0,2,1,101,0.0,0,1.0
1,0,1,1,111,0.0,2,0.0
2,0,1,1,111,0.0,2,0.0
3,2,1,1,111,0.0,2,0.0
4,1,4,1,111,0.0,2,0.0
5,0,1,1,111,0.0,2,0.0
6,2,1,0,111,0.0,2,0.0
7,1,3,1,111,0.0,2,0.0
8,2,4,0,111,0.0,2,0.0
9,0,3,1,111,0.0,2,0.0
10,2,2,0,111,0.0,2,0.0
11,2,1,0,111,0.0,2,0.0
12,1,2,0,111,0.0,2,0.0
13,2,2,0,111,0.0,2,0.0
14,1,3,1,111,0.0,2,0.0
15,2,1,0,111,0.0,2,0.0
16,0,4,1,111,0.0,2,0.0
17,1,2,0,111,0.0,2,0.0
18,0,1,1,111,0.0,2,0.0
19,2,1,0,111,0.0,2,0.0
20,2,3,1,111,0.0,2,0.0
21,2,2,0,111,0.0,2,0.0
22,0,3,1,111,0.0,2,0.0
23,1,1,0,111,0.0,2,0.0
24,1,4,1,111,0.0,2,0.0
25,0,3,1,111,0.0,2,0.0
26,0,2,1,111,0.0,2,0.0
27,1,1,1,111,0.0,2,0.0
28,2,4,0,111,0.0,2,0.0
29,0,2,1,111,0.0,2,0.0
30,1,4,1,111,0.0,2,0.0
31,1,3,0,111,0.0,2,0.0
32,2,4,0,111,0.0,2,0.0
33,0,1,1,111,0.0,2,0.0
34,0,1,1,111,0.0,2,0.0
35,0,3,1,111,0.0,2,0.0
36,1,1,1,111,0.0,2,0.0
37,2,2,0,111,0.0,2,0.0
38,1,3,1,111,0.0,2,0.0
39,2,2,0,111,0.0,2,0.0
40,0,4,0,111,0.0,2,0.0
41,2,4,0,111,0.0,2,0.0
42,1,2,1,111,0.0,2,0.0
43,1,2,1,111,0.0,2,0.0
44,0,2,1,111,0.0,2,0.0
45,1,4,1,111,0.0,2,0.0
1,0,3,1,121,0.0,2,0.1
2,2,2,0,121,0.0,2,0.1
3,1,4,1,121,0.0,2,0.1
4,2,2,0,121,0.0,2,0.1
5,2,1,0,121,0.0,2,0.1
6,2,1,0,121,0.0,2,0.1
7,0,3,1,121,0.0,2,0.1
8,1,1,0,121,0.0,2,0.1
9,1,1,0,121,0.0,2,0.1
10,2,2,0,121,0.0,2,0.1
11,2,4,0,121,0.0,2,0.1
12,0,4,1,121,0.0,2,0.1
13,1,2,1,121,0.0,2,0.1
14,1,1,0,121,0.0,2,0.1
15,2,4,0,121,0.0,2,0.1
16,1,3,1,121,0.0,2,0.1
17,0,4,1,121,0.0,2,0.1
18,0,2,1,121,0.0,2,0.1
19,2,4,0,121,0.0,2,0.1
20,0,4,1,121,0.0,2,0.1
21,0,3,1,121,0.0,2,0.1
22,0,2,1,121,0.0,2,0.1
23,1,3,0,121,0.0,2,0.1
24,2,1,0,121,0.0,2,0.1
25,0,1,1,121,0.0,2,0.1
26,1,1,0,121,0.0,2,0.1
27,1,3,1,121,0.0,2,0.1
28,0,2,1,121,0.0,2,0.1
29,2,2,0,121,0.0,2,0.1
