Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
13,0,4,1,14,0
14,1,3,1,14,0
15,2,4,0,14,0
16,0,2,1,14,0
17,1,1,0,14,0
18,2,4,0,14,0
19,2,4,0,14,0
20,1,3,1,14,0
21,2,2,0,14,0
22,0,3,1,14,0
23,0,1,1,14,0
24,1,1,1,14,0
25,2,2,0,14,0
26,1,4,1,14,0
27,2,3,0,14,0
28,1,1,0,14,0
29,2,4,1,14,0
30,1,3,1,14,0
31,0,3,1,14,0
32,0,3,1,14,0
33,2,1,0,14,0
34,0,3,1,14,0
35,1,3,1,14,0
36,2,4,0,14,0
37,1,1,0,14,0
38,0,4,1,14,0
39,0,1,1,14,0
40,2,1,0,14,0
41,0,4,1,14,0
42,2,2,0,14,0
43,0,2,1,14,0
44,2,3,0,14,0
45,1,4,1,14,0
1,1,4,1,15,0
2,0,3,1,15,0
3,2,3,0,15,0
4,0,3,1,15,0
5,2,4,0,15,0
6,2,4,0,15,0
7,1,4,1,15,0
8,2,1,0,15,0
9,2,4,0,15,0
10,1,1,1,15,0
11,2,2,0,15,0
12,2,3,0,15,0
13,2,3,0,15,0
14,0,4,1,15,0
15,0,4,1,15,0
16,2,4,0,15,0
17,1,1,1,15,0
18,1,4,1,15,0
19,1,3,1,15,0
20,2,1,0,15,0
21,0,3,1,15,0
22,1,2,1,15,0
23,2,2,0,15,0
24,2,3,0,15,0
25,0,3,1,15,0
26,0,2,1,15,0
27,0,4,1,15,0
28,1,3,1,15,0
29,1,4,1,15,0
30,0,3,1,15,0
31,1,3,0,15,0
32,1,2,0,15,0
33,1,1,1,15,0
34,0,2,1,15,0
35,1,4,1,15,0
36,2,2,0,15,0
37,2,1,0,15,0
38,0,4,1,15,0
39,2,1,0,15,0
40,0,2,0,15,0
41,1,2,0,15,0
42,0,3,1,15,0
43,0,4,1,15,0
44,0,1,1,15,0
45,1,1,1,15,0
1,0,2,1,16,0
2,0,2,1,16,0
3,1,2,1,16,0
4,0,1,1,16,0
5,2,2,0,16,0
6,0,2,1,16,0
7,0,4,1,16,0
8,0,3,1,16,0
9,1,2,1,16,0
10,0,3,1,16,0
11,2,2,0,16,0
12,1,3,0,16,0
13,2,3,0,16,0
14,1,4,1,16,0
15,1,4,1,16,0
16,1,2,1,16,0
17,2,4,0,16,0
18,0,1,1,16,0
19,2,4,0,16,0
20,1,3,1,16,0
21,2,4,0,16,0
22,2,4,0,16,0
23,1,1,0,16,0
24,0,4,1,16,0
25,2,3,0,16,0
26,1,2,0,16,0
27,0,1,1,16,0
28,2,1,0,16,0
29,2,3,0,16,0
30,2,2,0,16,0
31,1,4,1,16,0
32,2,4,0,16,0
33,0,4,0,16,0
34,0,1,1,16,0
35,0,3,1,16,0
36,1,2,1,16,0
37,0,4,1,16,0
38,1,3,1,16,0
39,1,4,1,16,0
40,2,4,0,16,0
41,1,4,0,16,0
42,2,3,1,16,0
43,2,2,0,16,0
44,0,1,1,16,0
45,1,2,0,16,0
1,0,4,0,17,0
2,1,4,1,17,0
3,2,1,0,17,0
4,2,4,0,17,0
5,1,1,1,17,0
6,2,4,0,17,0
7,2,4,0,17,0
8,1,4,1,17,0
9,2,1,0,17,0
