Subject,alpha,beta
67.0,1.0,0.3373336945439883
68.0,1.0,0.33733369217255504
69.0,1.0,0.22466545960840445
70.0,1.0,0.44873798705763857
71.0,1.0,0.09074174698340655
72.0,0.015265008719555568,20.0
73.0,0.0,1e-10
74.0,0.009593707295045396,20.0
75.0,0.0,1e-10
76.0,1.0,0.09074174419983964
77.0,0.0,1e-10
78.0,0.0034527413734566745,20.0
79.0,0.2261219908424233,1.9844950614079855
80.0,1.0,0.6456942441760116
81.0,0.013928983620100444,20.0
82.0,1.0,0.026715163894649462
83.0,0.8770651038248605,0.6683045627837766
84.0,1.0,1e-10
85.0,1.0,0.2246654610941685
86.0,1.0,0.2578734959922975
87.0,0.002736278932346126,20.0
88.0,1.0,0.026715164841030484
89.0,0.006835808904779307,20.0
90.0,1.0,0.026715162187471126
91.0,1.0,0.20618104768026857
92.0,1.0,0.6456942484885464
93.0,0.31582439583121824,0.8165090938351847
94.0,0.41548241128989755,1.0800408607183167
95.0,0.2552798488643335,1e-10
96.0,0.0,1e-10
97.0,0.1863661347046722,0.7505255075527685
98.0,1.0,0.1943566512810495
99.0,0.4176991124412786,0.3348643424280642
100.0,1.0,20.0
101.0,1.0,0.1943566528027977
102.0,0.0,1e-10
103.0,1.0,0.06743667361425723
104.0,1.0,13.274406910589095
105.0,0.38229791883621406,0.6745354292833408
106.0,0.28042900576923346,0.2900618597782691
107.0,0.01363630695120201,20.0
108.0,0.0,1e-10
109.0,0.24050398063477105,0.6206371163526267
110.0,0.0,1e-10
111.0,1.0,0.04467019086231555
112.0,0.0,1e-10
113.0,0.0,1e-10
114.0,1.0,0.09074174838530755
115.0,0.26262117170714616,0.5326019159613717
116.0,0.004698014739436049,20.0
117.0,1.0,0.19435665816161785
118.0,0.4493265746604047,0.055614840273829416
119.0,0.012084515082333998,20.0
120.0,1.0,0.02671516220315995
121.0,1.0,12.334908526482545
122.0,1.0,17.328863815578128
123.0,0.516311347995409,0.05514439969331904
124.0,1.0,0.044670185046790004
125.0,0.9794836466462363,0.14280232879871438
126.0,0.9999999271136858,0.13987254692810713
127.0,1.0,0.5291336530016696
128.0,0.737380323421263,0.4574758619787498
129.0,1.0,0.13987254296455115
