Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta
7,1,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
8,0,3,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
9,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
10,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
11,1,3,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
12,0,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
13,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
14,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
15,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
16,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
17,0,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
18,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
19,1,2,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
20,2,2,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
21,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
22,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
23,0,3,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
24,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
25,2,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
26,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
27,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
28,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
29,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
30,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
31,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
32,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
33,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
34,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
35,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
36,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
37,2,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
38,1,1,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
39,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
40,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
41,1,2,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
42,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
43,0,4,1,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
44,2,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
45,1,1,0,sub-2001_5,0.0213659209282513,0.105238397485747,4.05371228655361
1,1,3,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
2,1,1,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
3,1,2,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
4,1,1,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
5,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
6,2,3,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
7,1,3,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
8,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
9,0,3,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
10,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
11,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
12,2,1,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
13,2,2,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
14,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
15,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
16,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
17,1,1,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
18,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
