Trial,Stim_Sequence,Choice,Trustee_Response,Beta,Subject
42,2,3,0,0.656459925811953,sub-1013_5
43,2,1,0,0.656459925811953,sub-1013_5
44,2,2,0,0.656459925811953,sub-1013_5
45,0,3,1,0.656459925811953,sub-1013_5
1,0,3,1,0.656459925811953,sub-1013_6
2,2,1,0,0.656459925811953,sub-1013_6
3,2,1,0,0.656459925811953,sub-1013_6
4,0,1,1,0.656459925811953,sub-1013_6
5,0,1,1,0.656459925811953,sub-1013_6
6,0,2,1,0.656459925811953,sub-1013_6
7,2,4,0,0.656459925811953,sub-1013_6
8,2,2,0,0.656459925811953,sub-1013_6
9,0,2,1,0.656459925811953,sub-1013_6
10,2,4,0,0.656459925811953,sub-1013_6
11,2,2,0,0.656459925811953,sub-1013_6
12,0,2,1,0.656459925811953,sub-1013_6
13,1,4,1,0.656459925811953,sub-1013_6
14,1,4,1,0.656459925811953,sub-1013_6
15,2,4,0,0.656459925811953,sub-1013_6
16,0,2,1,0.656459925811953,sub-1013_6
17,1,3,0,0.656459925811953,sub-1013_6
18,2,3,0,0.656459925811953,sub-1013_6
19,0,1,1,0.656459925811953,sub-1013_6
20,1,4,0,0.656459925811953,sub-1013_6
21,0,3,1,0.656459925811953,sub-1013_6
22,0,1,1,0.656459925811953,sub-1013_6
23,1,4,1,0.656459925811953,sub-1013_6
24,1,2,1,0.656459925811953,sub-1013_6
25,0,4,1,0.656459925811953,sub-1013_6
26,2,4,0,0.656459925811953,sub-1013_6
27,1,1,1,0.656459925811953,sub-1013_6
28,2,2,0,0.656459925811953,sub-1013_6
29,0,1,1,0.656459925811953,sub-1013_6
30,0,2,1,0.656459925811953,sub-1013_6
31,1,2,1,0.656459925811953,sub-1013_6
32,1,4,1,0.656459925811953,sub-1013_6
33,1,4,0,0.656459925811953,sub-1013_6
34,1,3,1,0.656459925811953,sub-1013_6
35,1,1,1,0.656459925811953,sub-1013_6
36,2,1,0,0.656459925811953,sub-1013_6
37,1,2,0,0.656459925811953,sub-1013_6
38,0,4,1,0.656459925811953,sub-1013_6
39,2,1,0,0.656459925811953,sub-1013_6
40,2,1,0,0.656459925811953,sub-1013_6
41,1,3,0,0.656459925811953,sub-1013_6
42,0,2,1,0.656459925811953,sub-1013_6
43,1,2,1,0.656459925811953,sub-1013_6
44,2,2,1,0.656459925811953,sub-1013_6
45,2,2,0,0.656459925811953,sub-1013_6
1,1,2,0,0.656459925811953,sub-1013_7
2,0,2,1,0.656459925811953,sub-1013_7
3,2,1,0,0.656459925811953,sub-1013_7
4,2,2,0,0.656459925811953,sub-1013_7
5,0,3,1,0.656459925811953,sub-1013_7
6,1,2,1,0.656459925811953,sub-1013_7
7,2,4,0,0.656459925811953,sub-1013_7
8,2,1,0,0.656459925811953,sub-1013_7
9,1,4,1,0.656459925811953,sub-1013_7
10,2,3,0,0.656459925811953,sub-1013_7
11,2,3,0,0.656459925811953,sub-1013_7
12,0,2,1,0.656459925811953,sub-1013_7
13,2,4,0,0.656459925811953,sub-1013_7
14,1,1,0,0.656459925811953,sub-1013_7
15,0,1,1,0.656459925811953,sub-1013_7
16,1,3,1,0.656459925811953,sub-1013_7
17,2,1,0,0.656459925811953,sub-1013_7
18,1,1,1,0.656459925811953,sub-1013_7
19,2,4,0,0.656459925811953,sub-1013_7
20,0,2,1,0.656459925811953,sub-1013_7
21,2,3,0,0.656459925811953,sub-1013_7
22,1,2,1,0.656459925811953,sub-1013_7
23,1,1,1,0.656459925811953,sub-1013_7
24,2,1,0,0.656459925811953,sub-1013_7
25,2,1,0,0.656459925811953,sub-1013_7
26,0,3,1,0.656459925811953,sub-1013_7
27,0,3,1,0.656459925811953,sub-1013_7
28,0,1,1,0.656459925811953,sub-1013_7
29,0,4,1,0.656459925811953,sub-1013_7
30,2,1,0,0.656459925811953,sub-1013_7
31,1,1,0,0.656459925811953,sub-1013_7
32,2,2,0,0.656459925811953,sub-1013_7
33,0,3,1,0.656459925811953,sub-1013_7
34,0,4,1,0.656459925811953,sub-1013_7
35,1,4,0,0.656459925811953,sub-1013_7
36,1,2,1,0.656459925811953,sub-1013_7
37,0,2,1,0.656459925811953,sub-1013_7
38,2,4,0,0.656459925811953,sub-1013_7
39,1,1,1,0.656459925811953,sub-1013_7
40,0,1,0,0.656459925811953,sub-1013_7
41,1,2,1,0.656459925811953,sub-1013_7
42,0,1,1,0.656459925811953,sub-1013_7
43,1,2,0,0.656459925811953,sub-1013_7
44,0,4,1,0.656459925811953,sub-1013_7
45,1,2,1,0.656459925811953,sub-1013_7
1,1,4,1,0.656459925811953,sub-1013_8
2,2,3,0,0.656459925811953,sub-1013_8
3,2,1,0,0.656459925811953,sub-1013_8
4,0,4,1,0.656459925811953,sub-1013_8
5,2,3,0,0.656459925811953,sub-1013_8
6,0,3,0,0.656459925811953,sub-1013_8
7,2,1,0,0.656459925811953,sub-1013_8
8,0,2,1,0.656459925811953,sub-1013_8
9,1,1,1,0.656459925811953,sub-1013_8
10,2,3,0,0.656459925811953,sub-1013_8
11,2,3,0,0.656459925811953,sub-1013_8
12,1,4,1,0.656459925811953,sub-1013_8
13,0,2,1,0.656459925811953,sub-1013_8
14,2,3,0,0.656459925811953,sub-1013_8
15,0,3,1,0.656459925811953,sub-1013_8
16,1,1,0,0.656459925811953,sub-1013_8
17,0,2,1,0.656459925811953,sub-1013_8
18,2,4,0,0.656459925811953,sub-1013_8
19,2,2,0,0.656459925811953,sub-1013_8
20,2,4,0,0.656459925811953,sub-1013_8
21,1,1,1,0.656459925811953,sub-1013_8
22,1,1,0,0.656459925811953,sub-1013_8
23,2,3,0,0.656459925811953,sub-1013_8
24,0,3,1,0.656459925811953,sub-1013_8
25,0,4,1,0.656459925811953,sub-1013_8
26,1,3,0,0.656459925811953,sub-1013_8
27,1,2,1,0.656459925811953,sub-1013_8
28,1,3,1,0.656459925811953,sub-1013_8
29,0,4,1,0.656459925811953,sub-1013_8
30,0,4,0,0.656459925811953,sub-1013_8
31,1,4,0,0.656459925811953,sub-1013_8
32,0,4,1,0.656459925811953,sub-1013_8
33,2,3,0,0.656459925811953,sub-1013_8
34,1,2,1,0.656459925811953,sub-1013_8
35,0,2,1,0.656459925811953,sub-1013_8
36,1,3,1,0.656459925811953,sub-1013_8
37,1,4,0,0.656459925811953,sub-1013_8
38,1,4,1,0.656459925811953,sub-1013_8
39,2,2,0,0.656459925811953,sub-1013_8
40,1,3,1,0.656459925811953,sub-1013_8
41,2,3,0,0.656459925811953,sub-1013_8
42,0,3,0,0.656459925811953,sub-1013_8
43,0,3,1,0.656459925811953,sub-1013_8
44,0,4,1,0.656459925811953,sub-1013_8
45,2,3,0,0.656459925811953,sub-1013_8
1,1,1,1,0.656459925811953,sub-1013_9
2,2,1,0,0.656459925811953,sub-1013_9
3,0,2,1,0.656459925811953,sub-1013_9
4,1,4,1,0.656459925811953,sub-1013_9
5,1,2,1,0.656459925811953,sub-1013_9
6,0,2,1,0.656459925811953,sub-1013_9
7,0,2,1,0.656459925811953,sub-1013_9
8,1,4,1,0.656459925811953,sub-1013_9
9,0,3,1,0.656459925811953,sub-1013_9
10,1,2,1,0.656459925811953,sub-1013_9
11,0,3,1,0.656459925811953,sub-1013_9
12,2,2,0,0.656459925811953,sub-1013_9
13,0,3,1,0.656459925811953,sub-1013_9
14,2,3,1,0.656459925811953,sub-1013_9
15,1,2,0,0.656459925811953,sub-1013_9
16,0,2,1,0.656459925811953,sub-1013_9
17,1,4,1,0.656459925811953,sub-1013_9
18,2,2,0,0.656459925811953,sub-1013_9
19,2,2,0,0.656459925811953,sub-1013_9
20,1,4,0,0.656459925811953,sub-1013_9
21,2,2,1,0.656459925811953,sub-1013_9
22,1,4,1,0.656459925811953,sub-1013_9
23,1,4,0,0.656459925811953,sub-1013_9
24,0,3,1,0.656459925811953,sub-1013_9
25,2,4,0,0.656459925811953,sub-1013_9
26,1,4,0,0.656459925811953,sub-1013_9
27,0,2,1,0.656459925811953,sub-1013_9
28,0,4,1,0.656459925811953,sub-1013_9
29,2,4,0,0.656459925811953,sub-1013_9
30,1,4,1,0.656459925811953,sub-1013_9
31,0,4,1,0.656459925811953,sub-1013_9
32,1,2,0,0.656459925811953,sub-1013_9
33,0,4,0,0.656459925811953,sub-1013_9
34,2,2,0,0.656459925811953,sub-1013_9
35,1,1,0,0.656459925811953,sub-1013_9
36,0,1,1,0.656459925811953,sub-1013_9
37,2,1,0,0.656459925811953,sub-1013_9
38,2,3,0,0.656459925811953,sub-1013_9
39,0,2,1,0.656459925811953,sub-1013_9
40,0,4,1,0.656459925811953,sub-1013_9
41,2,4,0,0.656459925811953,sub-1013_9
42,2,1,0,0.656459925811953,sub-1013_9
43,2,2,0,0.656459925811953,sub-1013_9
44,2,4,0,0.656459925811953,sub-1013_9
45,1,3,1,0.656459925811953,sub-1013_9
1,0,4,1,0.656459925811953,sub-1013_10
2,0,4,1,0.656459925811953,sub-1013_10
3,2,4,0,0.656459925811953,sub-1013_10
4,1,1,0,0.656459925811953,sub-1013_10
5,0,2,1,0.656459925811953,sub-1013_10
6,2,3,0,0.656459925811953,sub-1013_10
7,0,4,1,0.656459925811953,sub-1013_10
8,1,4,1,0.656459925811953,sub-1013_10
9,0,4,1,0.656459925811953,sub-1013_10
10,2,1,0,0.656459925811953,sub-1013_10
11,1,1,1,0.656459925811953,sub-1013_10
12,1,1,0,0.656459925811953,sub-1013_10
13,0,1,1,0.656459925811953,sub-1013_10
14,1,2,1,0.656459925811953,sub-1013_10
15,1,1,1,0.656459925811953,sub-1013_10
16,0,2,0,0.656459925811953,sub-1013_10
17,2,1,1,0.656459925811953,sub-1013_10
18,0,1,1,0.656459925811953,sub-1013_10
19,1,1,1,0.656459925811953,sub-1013_10
20,0,2,1,0.656459925811953,sub-1013_10
21,2,2,0,0.656459925811953,sub-1013_10
22,2,3,0,0.656459925811953,sub-1013_10
23,0,1,1,0.656459925811953,sub-1013_10
24,1,2,1,0.656459925811953,sub-1013_10
25,2,2,1,0.656459925811953,sub-1013_10
26,1,4,1,0.656459925811953,sub-1013_10
27,2,4,0,0.656459925811953,sub-1013_10
28,2,2,1,0.656459925811953,sub-1013_10
29,2,4,0,0.656459925811953,sub-1013_10
30,1,4,1,0.656459925811953,sub-1013_10
31,1,2,1,0.656459925811953,sub-1013_10
32,2,4,0,0.656459925811953,sub-1013_10
33,0,4,1,0.656459925811953,sub-1013_10
34,2,2,0,0.656459925811953,sub-1013_10
35,2,1,0,0.656459925811953,sub-1013_10
36,1,3,1,0.656459925811953,sub-1013_10
37,1,2,1,0.656459925811953,sub-1013_10
38,1,4,1,0.656459925811953,sub-1013_10
39,2,4,0,0.656459925811953,sub-1013_10
40,0,2,1,0.656459925811953,sub-1013_10
41,0,2,1,0.656459925811953,sub-1013_10
42,1,1,0,0.656459925811953,sub-1013_10
43,2,2,0,0.656459925811953,sub-1013_10
44,0,3,1,0.656459925811953,sub-1013_10
45,0,2,1,0.656459925811953,sub-1013_10
1,2,2,0,0.137249505377998,sub-1005_1
2,2,4,1,0.137249505377998,sub-1005_1
3,0,1,1,0.137249505377998,sub-1005_1
4,2,2,0,0.137249505377998,sub-1005_1
5,2,3,0,0.137249505377998,sub-1005_1
6,1,3,1,0.137249505377998,sub-1005_1
7,0,2,1,0.137249505377998,sub-1005_1
8,1,1,1,0.137249505377998,sub-1005_1
9,0,2,1,0.137249505377998,sub-1005_1
10,1,1,0,0.137249505377998,sub-1005_1
11,1,1,1,0.137249505377998,sub-1005_1
12,0,3,1,0.137249505377998,sub-1005_1
13,1,3,1,0.137249505377998,sub-1005_1
14,2,2,0,0.137249505377998,sub-1005_1
15,1,1,0,0.137249505377998,sub-1005_1
16,0,3,0,0.137249505377998,sub-1005_1
17,2,1,0,0.137249505377998,sub-1005_1
18,2,4,0,0.137249505377998,sub-1005_1
19,1,4,0,0.137249505377998,sub-1005_1
20,2,2,0,0.137249505377998,sub-1005_1
21,0,2,1,0.137249505377998,sub-1005_1
22,1,2,1,0.137249505377998,sub-1005_1
23,1,1,0,0.137249505377998,sub-1005_1
24,1,4,1,0.137249505377998,sub-1005_1
25,2,1,0,0.137249505377998,sub-1005_1
26,2,2,0,0.137249505377998,sub-1005_1
27,0,2,1,0.137249505377998,sub-1005_1
28,2,1,0,0.137249505377998,sub-1005_1
29,2,1,0,0.137249505377998,sub-1005_1
30,0,3,1,0.137249505377998,sub-1005_1
31,0,4,1,0.137249505377998,sub-1005_1
32,1,1,1,0.137249505377998,sub-1005_1
33,0,2,1,0.137249505377998,sub-1005_1
34,0,2,1,0.137249505377998,sub-1005_1
35,0,2,1,0.137249505377998,sub-1005_1
36,0,1,1,0.137249505377998,sub-1005_1
37,0,3,1,0.137249505377998,sub-1005_1
38,1,1,1,0.137249505377998,sub-1005_1
39,0,2,1,0.137249505377998,sub-1005_1
40,1,2,0,0.137249505377998,sub-1005_1
41,2,4,0,0.137249505377998,sub-1005_1
42,2,3,0,0.137249505377998,sub-1005_1
43,1,1,1,0.137249505377998,sub-1005_1
44,1,4,0,0.137249505377998,sub-1005_1
45,2,1,0,0.137249505377998,sub-1005_1
1,1,2,1,0.137249505377998,sub-1005_2
2,2,3,0,0.137249505377998,sub-1005_2
3,1,3,0,0.137249505377998,sub-1005_2
4,1,2,0,0.137249505377998,sub-1005_2
5,2,1,0,0.137249505377998,sub-1005_2
6,0,1,0,0.137249505377998,sub-1005_2
7,0,3,1,0.137249505377998,sub-1005_2
8,2,1,0,0.137249505377998,sub-1005_2
9,1,4,1,0.137249505377998,sub-1005_2
10,2,2,1,0.137249505377998,sub-1005_2
11,0,4,0,0.137249505377998,sub-1005_2
12,2,4,0,0.137249505377998,sub-1005_2
13,0,2,1,0.137249505377998,sub-1005_2
14,2,2,0,0.137249505377998,sub-1005_2
15,1,2,0,0.137249505377998,sub-1005_2
16,1,2,0,0.137249505377998,sub-1005_2
17,1,3,1,0.137249505377998,sub-1005_2
18,0,3,1,0.137249505377998,sub-1005_2
19,0,1,1,0.137249505377998,sub-1005_2
20,2,3,0,0.137249505377998,sub-1005_2
21,0,2,1,0.137249505377998,sub-1005_2
22,1,2,0,0.137249505377998,sub-1005_2
23,2,3,0,0.137249505377998,sub-1005_2
24,2,1,1,0.137249505377998,sub-1005_2
25,2,1,0,0.137249505377998,sub-1005_2
26,0,3,1,0.137249505377998,sub-1005_2
27,1,2,0,0.137249505377998,sub-1005_2
28,1,4,1,0.137249505377998,sub-1005_2
29,1,4,1,0.137249505377998,sub-1005_2
30,0,2,1,0.137249505377998,sub-1005_2
31,0,4,0,0.137249505377998,sub-1005_2
32,0,3,1,0.137249505377998,sub-1005_2
33,1,3,0,0.137249505377998,sub-1005_2
34,2,2,0,0.137249505377998,sub-1005_2
35,1,4,0,0.137249505377998,sub-1005_2
36,0,3,1,0.137249505377998,sub-1005_2
37,0,4,1,0.137249505377998,sub-1005_2
38,2,3,0,0.137249505377998,sub-1005_2
39,1,2,1,0.137249505377998,sub-1005_2
40,2,2,0,0.137249505377998,sub-1005_2
41,0,3,1,0.137249505377998,sub-1005_2
42,0,1,1,0.137249505377998,sub-1005_2
43,2,2,0,0.137249505377998,sub-1005_2
44,1,2,1,0.137249505377998,sub-1005_2
45,2,1,0,0.137249505377998,sub-1005_2
1,1,4,0,0.137249505377998,sub-1005_3
2,2,1,0,0.137249505377998,sub-1005_3
3,0,1,1,0.137249505377998,sub-1005_3
4,1,4,0,0.137249505377998,sub-1005_3
5,2,4,0,0.137249505377998,sub-1005_3
6,0,4,1,0.137249505377998,sub-1005_3
7,0,1,1,0.137249505377998,sub-1005_3
8,2,4,0,0.137249505377998,sub-1005_3
9,0,4,1,0.137249505377998,sub-1005_3
10,2,3,0,0.137249505377998,sub-1005_3
11,1,1,0,0.137249505377998,sub-1005_3
12,1,1,1,0.137249505377998,sub-1005_3
13,1,1,0,0.137249505377998,sub-1005_3
14,1,2,1,0.137249505377998,sub-1005_3
15,1,1,1,0.137249505377998,sub-1005_3
16,1,4,1,0.137249505377998,sub-1005_3
17,2,1,0,0.137249505377998,sub-1005_3
18,0,3,1,0.137249505377998,sub-1005_3
19,2,3,0,0.137249505377998,sub-1005_3
20,2,3,0,0.137249505377998,sub-1005_3
21,0,1,1,0.137249505377998,sub-1005_3
22,2,3,0,0.137249505377998,sub-1005_3
23,0,2,0,0.137249505377998,sub-1005_3
24,1,4,1,0.137249505377998,sub-1005_3
25,0,4,1,0.137249505377998,sub-1005_3
26,1,3,1,0.137249505377998,sub-1005_3
27,1,1,1,0.137249505377998,sub-1005_3
28,0,2,1,0.137249505377998,sub-1005_3
29,2,1,0,0.137249505377998,sub-1005_3
30,2,2,0,0.137249505377998,sub-1005_3
31,0,2,1,0.137249505377998,sub-1005_3
32,2,2,0,0.137249505377998,sub-1005_3
33,0,2,1,0.137249505377998,sub-1005_3
34,2,3,0,0.137249505377998,sub-1005_3
35,2,4,0,0.137249505377998,sub-1005_3
36,0,4,1,0.137249505377998,sub-1005_3
37,1,3,1,0.137249505377998,sub-1005_3
38,0,4,1,0.137249505377998,sub-1005_3
39,1,4,0,0.137249505377998,sub-1005_3
40,1,4,1,0.137249505377998,sub-1005_3
41,0,2,1,0.137249505377998,sub-1005_3
42,1,4,0,0.137249505377998,sub-1005_3
43,2,3,0,0.137249505377998,sub-1005_3
44,2,3,0,0.137249505377998,sub-1005_3
45,0,2,1,0.137249505377998,sub-1005_3
1,0,3,1,0.137249505377998,sub-1005_4
2,1,3,1,0.137249505377998,sub-1005_4
3,2,2,0,0.137249505377998,sub-1005_4
4,2,2,0,0.137249505377998,sub-1005_4
5,2,4,0,0.137249505377998,sub-1005_4
6,0,2,1,0.137249505377998,sub-1005_4
7,1,4,0,0.137249505377998,sub-1005_4
8,1,3,1,0.137249505377998,sub-1005_4
9,2,3,0,0.137249505377998,sub-1005_4
10,2,3,0,0.137249505377998,sub-1005_4
11,1,3,0,0.137249505377998,sub-1005_4
12,1,1,1,0.137249505377998,sub-1005_4
13,0,4,1,0.137249505377998,sub-1005_4
14,2,3,1,0.137249505377998,sub-1005_4
15,0,2,1,0.137249505377998,sub-1005_4
16,0,1,1,0.137249505377998,sub-1005_4
17,0,1,1,0.137249505377998,sub-1005_4
18,2,2,0,0.137249505377998,sub-1005_4
19,1,3,1,0.137249505377998,sub-1005_4
20,2,1,0,0.137249505377998,sub-1005_4
21,1,2,1,0.137249505377998,sub-1005_4
22,0,3,1,0.137249505377998,sub-1005_4
23,0,2,1,0.137249505377998,sub-1005_4
24,0,1,1,0.137249505377998,sub-1005_4
25,1,2,1,0.137249505377998,sub-1005_4
26,2,4,0,0.137249505377998,sub-1005_4
27,1,3,1,0.137249505377998,sub-1005_4
28,1,3,1,0.137249505377998,sub-1005_4
29,1,4,1,0.137249505377998,sub-1005_4
30,2,3,0,0.137249505377998,sub-1005_4
31,1,1,0,0.137249505377998,sub-1005_4
32,1,3,1,0.137249505377998,sub-1005_4
33,0,3,1,0.137249505377998,sub-1005_4
34,2,2,0,0.137249505377998,sub-1005_4
35,0,1,0,0.137249505377998,sub-1005_4
36,0,1,1,0.137249505377998,sub-1005_4
37,2,3,0,0.137249505377998,sub-1005_4
38,2,4,0,0.137249505377998,sub-1005_4
39,1,4,1,0.137249505377998,sub-1005_4
40,0,1,1,0.137249505377998,sub-1005_4
41,0,4,1,0.137249505377998,sub-1005_4
42,2,1,0,0.137249505377998,sub-1005_4
43,2,2,0,0.137249505377998,sub-1005_4
44,1,4,1,0.137249505377998,sub-1005_4
45,0,2,0,0.137249505377998,sub-1005_4
1,1,2,1,0.137249505377998,sub-1005_5
2,2,3,0,0.137249505377998,sub-1005_5
3,2,1,0,0.137249505377998,sub-1005_5
4,1,3,0,0.137249505377998,sub-1005_5
5,1,2,1,0.137249505377998,sub-1005_5
6,0,4,1,0.137249505377998,sub-1005_5
7,2,4,0,0.137249505377998,sub-1005_5
8,1,1,1,0.137249505377998,sub-1005_5
9,2,1,1,0.137249505377998,sub-1005_5
10,0,1,1,0.137249505377998,sub-1005_5
11,1,4,0,0.137249505377998,sub-1005_5
