Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,Decay
41,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
42,1,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
43,1,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
44,0,4,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
45,0,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
1,2,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
2,1,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
3,1,2,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
4,0,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
5,1,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
6,2,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
7,0,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
8,2,3,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
9,2,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
10,0,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
11,2,1,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
12,1,3,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
13,0,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
14,1,3,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
15,0,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
16,0,3,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
17,1,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
18,2,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
19,2,2,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
20,2,1,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
21,2,1,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
22,1,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
23,2,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
24,1,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
25,2,2,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
26,0,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
27,0,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
28,0,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
29,1,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
30,0,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
31,1,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
32,0,1,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
33,1,2,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
34,1,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
35,2,3,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
36,1,2,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
37,2,1,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
38,1,3,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
39,2,1,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,4,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
41,0,3,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
42,0,3,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
43,0,3,1,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
44,2,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
45,1,4,0,sub-1009_3,0.0011064427808133,0.0013407619908078,20.0,0.0
1,0,1,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
