Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-1021_6,0.01953283240831116,0.020291557949041486,20.0,0.4922998802127124,0.49593599730170573,0.5083393371890423,10.621475276814254
sub-1021_7,0.0,0.009757909277144147,20.0,0.5011167525257437,0.48878154824542963,0.4935429041797716,10.24179123473406
sub-1021_8,1.0,0.6011080470027589,0.6035348951663677,0.6158777689816249,0.5649001341389869,1.0,9.785891424542708
sub-1021_9,0.7568075875040167,1.0,0.2840505516117679,0.0,0.7263141172663197,0.4999999916535734,12.473945051174047
sub-1021_10,0.001021209769654117,0.02478434159162228,20.0,0.5027451247307064,0.5133196871628265,0.506890497047498,12.252031686816647
sub-1035_1,0.09973984588624893,0.29214641272832187,1.0988567501069668,0.5013076208283465,0.5690754762655328,1.0,12.20674293359208
sub-1035_2,0.002553885417425568,1.0,20.0,0.49830927833844446,0.4965031843038809,0.5000000042162344,13.584272684501995
sub-1035_3,1.0,0.852948678967966,0.43025797773624913,0.33745509685569713,0.21454615995949952,1.0,10.546664361822133
sub-1035_4,0.0,1.3692147406183998e-06,4.883375557162512,0.0,0.4856784156128363,0.4856797448258546,12.83906857966044
sub-1035_5,0.008087170788787255,0.0,20.0,0.4942995234736604,0.4953881493833389,0.5034968184579309,13.356601772596964
sub-1035_6,0.11502927889136308,1.0,1.741777807713417,0.4940264413855345,0.506038495006148,0.45984774215534036,9.464971367752613
sub-1035_7,0.012244641208327463,0.010175165415077273,20.0,0.49327709996185304,0.49358846025354125,0.498769206357854,11.874700627699248
sub-1035_8,0.026542687144189864,0.5160156611640383,10.399788791931266,0.49327347326211435,0.5067235848795726,0.9995889439153625,5.732012357443238
sub-1035_9,0.0,0.15203282229646561,0.321081860493586,1.0,0.2821853646331453,0.7012454210368427,14.028443332628672
sub-1035_10,0.0,0.33989125153976096,0.337334001812719,0.9999996044398202,0.7880774863944459,0.29267951020652616,12.24829554130935
sub-1034_1,0.0,0.569768852559885,0.8462414653961304,0.4902281422370747,0.4681031431134949,1.0,11.859070761525398
sub-1034_2,0.5428931963510675,0.959433725285051,0.24007862308864106,0.20869426692689852,0.11814910910419779,0.7913054253960098,13.366981436990205
sub-1034_3,1.0,1.0,6.288853715532913,0.5111199198899529,0.5111216528520298,0.9945133429837888,2.567813689041264
sub-1034_4,0.0,0.023423821027816826,20.0,0.49831407842829506,0.5143982631726459,0.4952201611260155,10.692156397057067
sub-1034_5,0.04298746478179283,0.5228126234955273,3.107781700328936,0.5145944490227018,0.5021821409832632,1.0,9.769160121627987
sub-1034_6,0.23596490046881097,0.0,0.5927683470514975,1.0,0.5000000058190786,0.4623206985166891,10.881364417634527
sub-1034_7,1.0,1.0,0.5291336317846106,0.5000000135107163,1.0,0.3678287219498024,9.047141823553483
sub-1034_8,0.0,1.0,5.568270457354778,0.5402961708409094,0.5040099617426493,0.4874412092896774,7.646020155287197
sub-1034_9,1.0,0.040295642276469534,0.3373336975399372,0.11777685035093967,1.0,0.5000000008811901,11.677645229548345
sub-1034_10,0.0023281458926336387,0.022460164696775847,20.0,0.5016472771087073,0.0,0.5056506693014956,8.090141972196776
sub-1020_1,0.009903464669352291,0.030166866601557523,20.0,0.497194470255336,0.5014821996585133,0.4911421628858721,10.718867556807819
sub-1020_2,0.1901899917053441,1.0,0.3748539982210236,0.24547248192272345,0.31343060799435984,0.6865692894385345,11.930121356462006
sub-1020_3,0.5313524883926725,1.0,6.995237368747995,1.0,0.4900023150683711,0.9571612632037093,1.2839068259505018
sub-1020_4,0.003565900426958071,0.019077286933618036,20.0,0.5005329284798078,0.49587783562455756,0.497081193140775,11.552986057156852
sub-1020_5,0.005824956691000137,0.02414755753460264,20.0,0.49355315598778265,0.5011005100996381,0.5000724986583386,9.46102089573732
sub-1020_6,0.45774046543606006,0.5132486620201985,19.95575977781465,0.48875634323729916,0.5035051076138239,0.9999829400993239,6.015877778252974
sub-1020_7,1.0,0.01331592313788948,20.0,1.0,0.4973511950151446,0.4966608809918903,7.791759942937251
sub-1020_8,0.0,0.013531411354780068,20.0,0.5034968093066953,0.5009107404722011,0.5083770003329892,13.784373536679372
sub-1020_9,0.002076602258907175,1.0,20.0,0.49976171237811906,0.0,1.0,7.894823098933763
sub-1020_10,0.3444204098100543,1.0,0.4441802391732479,0.3425497534879691,0.3566406154766144,0.49999998978919463,12.7555635447995
sub-1008_1,0.0,1.0,0.10668342994056844,0.4999997465725767,0.0,1.0,14.69709373580482
sub-1008_2,0.0,1.0,5.293335755362017,0.5132139119543792,0.524354570066551,0.48679165589714346,9.683716697317283
sub-1008_3,0.005347840643177531,0.0,20.0,0.49981446670803104,0.4989053954165977,0.0,12.211815980096285
sub-1008_4,0.0,1.0,5.379858974196061,0.47331151598750865,0.46864931531176535,0.5130004254909017,8.33221419674049
sub-1008_5,0.0036137863617565144,0.4910094401139853,7.778532270231165,0.9999999998860554,0.5016716335203975,1.0,6.70763007109587
sub-1008_6,0.0,0.004164453450404807,20.0,0.49355315540501454,0.4915666551186857,0.5039382365787788,12.79613292229584
sub-1008_7,0.31575072772020346,1.0,0.37957420881227716,0.4999999969543713,0.315750714354624,1.0,11.384553782281857
sub-1008_8,0.6513035041745446,0.517893865618348,0.4550043092714105,0.006885978388763006,1.0,0.6603075136462985,10.211506489510697
sub-1008_9,0.149850337583849,0.8914530162774039,0.46515747949144076,1.0,0.597115634117304,0.34965032822383385,11.143887865349559
sub-1008_10,1.0,0.7206740551629097,0.23035616412852317,0.0,1.0,0.8932684066880164,12.892575876440043
