Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-2006_1,0.012050588733365083,0.0,20.0,0.5018560773183244,0.5084333423170814,0.0,4.809974172705452
sub-2006_2,0.0,0.05348070021738387,5.091755347864557,1.0,0.45593342009924304,0.5137377635665507,4.804461649344249
sub-2006_3,0.6596817324837102,0.0,0.1398725481693717,0.01759872685294639,1.0,0.0,7.977185773927145
sub-2006_4,0.0,0.12920676750797977,5.499231486076155,0.5204255999732635,1.0,0.07317674259650209,4.593235988610333
sub-2006_5,0.0,1.0,5.379593236148154,0.4760318467607743,0.0,0.48700287317764773,4.548089229267234
sub-2006_6,1.0,1.0,0.13987253071703942,0.0,0.0,0.0,7.703440886303564
sub-2006_7,1.0,0.0,0.06743666070393231,0.39617915592307285,0.4999999891113791,1.0,8.217192318120425
sub-2006_8,3.4788041556082513e-10,0.01680352234976779,20.0,0.5064468394203968,0.06739984008861677,0.5102405139134943,6.490610421844985
sub-2006_9,0.0224063908428943,0.0,5.008546826583338,0.0,0.474257295640694,0.5139632598487306,5.8319961407379095
sub-2006_10,0.32416927069608026,0.0,5.415574501636934,0.4870874698056315,0.49999928171229224,1.0,6.829084349251454
sub-2012_1,0.0,0.43108742270255584,5.918984415278166,1.0,0.49430449179470354,1.0,5.444603638633323
sub-2012_2,0.48077189636095763,0.011121405014726799,20.0,0.49650319337660115,0.5099410896717725,0.5118677489075727,6.535429138162067
sub-2012_3,0.43212220362263665,1.0,0.13987253110857195,0.4999999982720997,1.0,0.0,7.908215979775491
sub-2012_4,0.0,0.8651375202799515,0.3373338017932423,0.9999998415912059,0.5662106652549298,0.7073206689548088,7.289663576549685
sub-2012_5,0.9379656842645864,1.0,0.13987253682282025,1.0,1.0,1.0,7.703440886303561
sub-2012_6,1.0,1.0,5.95742000057094,0.5000009127248191,0.4882605142161107,0.0,4.056495589881468
sub-2012_7,0.0,0.347669735433673,0.4020930252148249,0.4999999954262816,0.32606944361410023,1.0,7.553224376611485
sub-2012_8,0.0,0.9268864019982817,5.853797990761864,1.0,0.528813568162274,0.49999788301922143,4.652880276060616
sub-2012_9,0.0,0.28867260917396276,11.684645134250113,0.4855659353887289,0.9999968300357467,0.0,3.164198615974273
sub-2012_10,0.0,0.21437243028116704,5.054479498466353,0.5255089766110225,0.5333653209835006,1.0,5.144473915599695
sub-2004_1,0.610557679359582,0.0,5.159616862805917,1.0,0.5135527554000594,0.45651896471709896,4.804461615192919
sub-2004_2,0.0,0.03286942792804456,5.670896257337244,0.0,0.5297427874918804,0.0,3.1641983710691157
sub-2004_3,0.0042634389325449575,1.0,20.0,0.4986012042532298,0.503496808086256,0.7838890125661788,6.540393355274312
sub-2004_4,0.0,0.2871416526494322,0.3503448751190952,0.30037877441475835,0.9814308924161387,0.30037878420707576,7.015918688926103
sub-2004_5,0.0,0.0,5.10361670420889,0.47473812913581925,0.5330453415143243,1.0,5.1444738785244875
sub-2004_6,1.0,4.0115318869725966e-06,5.466520525145389,0.5127961232136594,0.0,0.5410451189652633,3.520554753707836
sub-2004_7,0.0,0.9999743564328645,0.2578837053796619,0.771193038712347,0.7711930735266975,0.7711930278066588,7.115902656289159
sub-2004_8,0.8001757102692252,0.15316476608604798,0.40231834284374657,0.6738331440752502,0.4526189447551732,1.0,7.250726624894688
sub-2004_9,0.0,0.9429522105377388,0.25787349531723486,0.22879620690480695,0.3730548787334572,0.0,7.115902656289155
sub-2004_10,0.0,0.02688051902876505,5.204029576401039,0.4865614203015979,0.49999997404741814,1.0,6.624309332403544
sub-2010_1,0.049635577187375574,0.18610524892725167,5.49601560558208,1.0,0.48727537357044504,0.46931235762942397,4.448105199468946
sub-2010_2,0.0,0.5136910192718238,5.55431908495188,0.48741064508449594,0.51259475609367,0.0,5.135627387607976
sub-2010_3,0.8423490895913299,0.19738942394498243,0.3062791416573196,0.8026105274146444,1.0,0.2716584044181424,7.054270137532784
