Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,iProbA,iProbB,iProbC
39,1,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
40,0,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
41,2,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
42,1,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
43,2,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
44,0,1,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
45,1,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
1,1,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
2,2,1,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
3,1,1,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
4,0,2,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
5,0,1,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
6,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
7,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
8,1,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
