Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
18,1,2,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
19,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
20,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
21,2,2,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
22,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
23,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
24,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
25,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
26,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
27,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
28,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
29,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
30,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
31,1,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
32,2,3,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
33,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
34,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
35,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
36,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
37,2,3,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
38,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
39,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
40,0,3,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
41,1,4,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
42,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
43,2,1,0,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
44,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
45,0,4,1,sub-1004_6,0.347654977492263,0.595335185534949,0.0292554628290216
1,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
2,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
3,0,1,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
4,2,2,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
5,1,3,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
6,2,4,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
7,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
8,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
9,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
10,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
11,2,2,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
12,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
13,2,3,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
14,1,1,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
15,1,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
16,1,1,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
17,1,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
18,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
19,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
20,1,1,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
21,1,2,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
22,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
23,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
24,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
25,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
26,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
27,1,4,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
28,1,1,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
29,2,2,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
30,0,3,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
31,0,2,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
32,2,4,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
33,2,2,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
