"id","agegrp","llh_double","llh_single","llh_baseline","llh_decay","llh_prior","AIC_double","AIC_single","AIC_baseline","AIC_decay","AIC_prior","BIC_double","BIC_single","BIC_baseline","BIC_decay","BIC_prior","AIC_double_weight","AIC_single_weight","AIC_baseline_weight","AIC_decay_weight","AIC_prior_weight","win"
"sub-1028","Younger",41.2323859962689,43.7458949725498,62.383246250395,41.2323859962689,47.8128006809919,89.0501378461963,91.7775042308139,126.859515756604,91.4647719925377,109.836127677773,93.8847594618487,95.1051149246402,128.57315499056,97.691421951619,118.465576300606,0.64319178214001,0.164475191774451,3.96404331705365e-09,0.192313310600155,1.97115213413279e-05,"double"
"sub-1029","Younger",37.2422471602568,38.1222200289781,59.6106575281552,37.2422471602568,37.1148766457083,81.0698601741722,80.5301543436704,121.314338312124,83.4844943205136,88.4402796072062,85.9044817898246,83.8577650374967,123.027977546081,89.7111442795949,97.0697282300386,0.379670598834161,0.497281839507413,6.92515624034696e-10,0.113520899717352,0.00952666124855792,"single"
"sub-1030","Younger",31.0152661185471,36.4691135808296,60.9969518892751,27.8782652574333,37.670641741278,68.6158980907528,77.2239414473735,124.086927034364,64.7565305148665,89.5518097983454,73.4505197064052,80.5515521411998,125.800566268321,70.9831804739478,98.1812584211779,0.126568266683083,0.00171045623986789,1.14010262275267e-13,0.871717678346072,3.59873086341038e-06,"decay"
"sub-1032","Younger",47.3524769971499,57.8462657243762,60.9969518892751,47.3524769971495,44.5470920111664,101.290319847958,119.978245734467,124.086927034364,103.704953994299,103.304710338122,106.124941463611,123.305856428293,125.800566268321,109.93160395338,111.934158960955,0.6008391102383,5.256862879054e-05,6.73810603041061e-06,0.179649929673481,0.219451653353398,"double"
"sub-1033","Younger",41.8655181208928,48.2428068075023,60.9969518892751,41.8655181208923,43.2819030120555,90.3164020954441,100.771327900719,124.086927034364,92.7310362417847,100.7743323399,95.1510237110965,104.098938594545,125.800566268321,98.957686200866,109.403780962733,0.763519272179254,0.00409790334477383,3.54522405728858e-08,0.228291037008163,0.00409175201556844,"double"
"sub-1034","Younger",36.5408981835093,37.7013351645772,62.383246250395,35.4884603196871,40.7999790445201,79.6671622206771,79.6883846148688,126.859515756604,79.9769206393741,95.8104844048296,84.5017838363296,83.0159953086951,128.57315499056,86.2035705984554,104.439933027662,0.351336297320488,0.347627908640513,1.98624883588672e-11,0.300926084288708,0.000109709730428617,"double"
"sub-1035","Younger",41.9142848752245,42.4058192268453,60.9969518892751,41.8967426515585,42.0350762327827,90.4139356041075,89.0973527394048,124.086927034364,92.793485303117,98.2806787813549,95.2485572197599,92.4249634332312,125.800566268321,99.0201352621983,106.910127404187,0.307185989280912,0.59332649233274,1.49762892720905e-08,0.0934735532103796,0.00601395019967883,"single"
"sub-1036","Younger",33.0452978452779,41.1166819271121,62.383246250395,32.237113172257,32.5190306961499,72.6759615442143,86.5190781399385,126.859515756604,73.474226344514,79.2485877080894,77.5105831598667,89.8466888337649,128.57315499056,79.7008763035952,87.8780363309218,0.585041786887352,0.000577021920571009,1.00317704214358e-12,0.392505627660273,0.0218755635308015,"double"
"sub-1037","Younger",46.6653933460593,46.6853569002716,59.6106575281552,42.2874338259464,50.1464973224571,99.9161525457771,97.6564280862576,121.314338312124,93.5748676518929,114.503520960704,104.75077416143,100.984038780084,123.027977546081,99.8015176109741,123.132969583536,0.0358182651908271,0.110865770405152,8.08253412717241e-07,0.853290806219125,2.43499314828431e-05,"decay"
"sub-1038","Younger",24.2719503569366,36.6986446908986,62.383246250395,24.2719503569366,27.4045797579075,55.1292665675317,77.6830036675115,126.859515756604,57.5439007138731,69.0196858316045,59.9638881831841,81.0106143613378,128.57315499056,63.7705506729544,77.649134454437,0.769245979030035,9.74054933586787e-06,2.0419237974578e-16,0.230003313165653,0.000740967254976048,"double"
