"id","agegrp","llh_double","llh_single","llh_baseline","llh_decay","llh_prior","n","AIC_double","AIC_single","AIC_baseline","AIC_decay","AIC_prior","BIC_double","BIC_single","BIC_baseline","BIC_decay","BIC_prior","AIC_win","BIC_win","conflict"
"sub-2019","Older",51.2651370415516,53.3087453472883,59.6106575281552,44.5214406630283,48.3921530107117,43,109.115639936762,110.903204980291,121.314338312124,98.0428813260566,110.994832337213,113.813874430184,114.139890925964,122.982515172004,104.087681788831,119.351506715585,"decay","decay",0
"sub-2020","Older",28.3214651515096,36.8368688296861,60.9969518892751,28.3214651515096,31.8259125530977,44,63.2282961566777,77.9594519450865,124.086927034364,65.6429303030192,77.8623514219849,67.995499204774,81.2421169272087,125.778093412468,71.7796888386923,86.356962909705,"double","double",0
"sub-2021","Older",54.3646226569845,54.4933318119756,60.9969518892751,54.3646226569845,52.7430892409055,44,115.314611167628,113.272377909665,124.086927034364,117.729245313969,119.6967047976,120.081814215724,116.555042891788,125.778093412468,123.866003849642,128.191316285321,"single","single",0
"sub-2022","Older",60.9094320872658,60.9969518892751,60.9969518892751,60.7172002864057,60.6696823566176,44,128.40423002819,126.279618064264,124.086927034364,130.434400572811,135.549891029025,133.171433076286,129.562283046387,125.778093412468,136.571159108484,144.044502516745,"baseline","baseline",0
"sub-2023","Older",31.6101718062174,34.8135971899166,60.9969518892751,31.5998816099608,32.0329643249226,44,69.8057094660933,73.9129086655475,124.086927034364,72.1997632199216,78.2764549656347,74.5729125141896,77.1955736476697,125.778093412468,78.3365217555947,86.7710664533548,"double","double",0
"sub-2024","Older",39.5766049623082,43.0608799829056,59.6106575281552,39.2471657177816,43.4529077262487,43,85.7385757782749,90.4074742515255,121.314338312124,87.4943314355633,101.116341768287,90.4368102716971,93.6441601971983,122.982515172004,93.5391318983375,109.473016146659,"double","double",0
"sub-2025","Older",48.2603423202804,50.7300653577486,60.9969518892751,47.8492837364685,50.2911031148336,44,103.106050494219,105.745845001211,124.086927034364,104.698567472937,114.792732545457,107.873253542316,109.028509983334,125.778093412468,110.83532600861,123.287344033177,"double","double",0
"sub-2026","Older",35.1357680724095,59.3558234269313,62.383246250395,35.1357680724095,27.6013915198897,45,76.8569019984775,122.997361139577,126.859515756604,79.271536144819,69.4133093555689,81.6915236141299,126.324971833403,128.57315499056,85.4981861039003,78.0427579784014,"prior","prior",0
"sub-2027","Older",47.8697819653994,47.8775894539757,62.383246250395,47.8697819653993,50.3440721263672,45,102.324929784457,100.040893193666,126.859515756604,104.739563930799,114.898670568524,107.15955140011,103.368503887492,128.57315499056,110.96621388988,123.528119191356,"single","single",0
"sub-2030","Older",58.0775218117587,58.2243631670353,58.2243631670353,58.0775218117587,58.2243631680747,42,122.740409477176,120.734440619785,118.541749589885,125.155043623517,130.659252651939,127.368052478368,123.924065570637,120.186395952354,131.105722096651,138.87474404585,"baseline","baseline",0
"sub-2031","Older",60.4307555878367,60.9969518892751,60.9969518892751,60.4307555878367,59.7092661321246,44,127.446877029332,126.279618064264,124.086927034364,129.861511175673,133.629058580039,132.214080077428,129.562283046387,125.778093412468,135.998269711346,142.123670067759,"baseline","baseline",0
"sub-2033","Older",60.7679736218354,60.9725247946315,60.9969518892751,59.9505926391048,60.8536075768215,44,128.121313097329,126.230763874977,124.086927034364,128.90118527821,135.917741469433,132.888516145426,129.5134288571,125.778093412468,135.037943813883,144.412352957153,"baseline","baseline",0
"sub-2034","Older",23.5670041390381,53.1631146824358,62.383246250395,23.5670041390381,16.62423973297,45,53.7193741317347,110.611943650586,126.859515756604,56.1340082780763,47.4590057817294,58.5539957473872,113.939554344412,128.57315499056,62.3606582371576,56.0884544045618,"prior","prior",0
"sub-2036","Older",61.1068873810274,62.383246250395,62.383246250395,61.1068873810275,60.8205019643602,45,128.799140615713,129.052206786504,126.859515756604,131.213774762055,135.85153024451,133.633762231366,132.379817480331,128.57315499056,137.440424721136,144.480978867342,"baseline","baseline",0
"sub-2037","Older",48.7270432497279,50.237647087184,58.2243631670353,46.2094162887408,48.7324443574942,42,104.039452353114,104.761008460082,118.541749589885,101.418832577482,111.675415030778,108.667095354306,107.950633410935,120.186395952354,107.369511050615,119.890906424689,"decay","decay",0
"sub-2038","Older",62.0790747306117,62.3181817363464,62.383246250395,61.2704775634777,61.8649552771928,45,130.743515314882,128.922077758407,126.859515756604,131.540955126955,137.940436870175,135.578136930534,132.249688452233,128.57315499056,137.767605086037,146.569885493008,"baseline","baseline",0
"sub-2039","Older",30.2313955481292,34.59272230378,59.6106575281552,29.246660606087,33.213269537734,43,67.0481569499169,73.4711588932743,121.314338312124,67.493321212174,80.6370653912574,71.7463914433391,76.7078448389471,122.982515172004,73.5381216749482,88.9937397696293,"double","double",0
