Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,Decay
23,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
24,1,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
25,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
26,2,3,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
27,2,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
28,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
29,0,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
30,2,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
31,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
32,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
33,1,2,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
34,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
35,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
36,1,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
37,1,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
38,2,3,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
39,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
40,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
41,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
42,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
43,0,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
44,1,3,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
45,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
1,1,2,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
2,2,4,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
3,2,3,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
4,0,2,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
5,0,4,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
6,1,2,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
7,2,1,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
8,1,4,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
9,1,1,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
10,2,1,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
11,2,1,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
12,2,3,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
13,1,4,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
14,0,3,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
15,1,4,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
16,2,2,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
17,0,4,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
18,1,4,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
19,0,3,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
20,2,2,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
21,0,1,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
22,1,1,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
23,0,4,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
24,0,2,1,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
25,2,1,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
26,1,2,0,2,0.6890115492570842,0.37987887931997627,0.5135769426001713,0.08089622523231396
