Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
38,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
39,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
40,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
41,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
42,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
43,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
44,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
45,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
1,0,3,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
2,1,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
3,2,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
4,1,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
5,1,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
6,1,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
7,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
8,1,1,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
9,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
10,1,2,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
11,1,2,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
12,2,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
13,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
14,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
15,0,3,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
16,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
17,2,2,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
18,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
19,1,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
20,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
21,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
22,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
23,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
24,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
25,1,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
26,2,2,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
27,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
28,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
29,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
30,1,2,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
31,1,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
32,0,4,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
33,2,2,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
34,1,1,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
35,0,1,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
36,1,1,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
37,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
38,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
39,0,3,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
40,1,3,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
41,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
42,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
43,0,4,1,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
44,1,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
45,2,1,0,2,0.7056941540672349,1.9832078228643009,0.19508744877975998
1,2,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
2,1,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
3,0,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
4,2,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
5,2,1,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
6,2,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
7,2,2,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
8,0,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
9,0,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
10,0,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
11,1,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
12,0,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
13,2,2,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
14,2,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
15,1,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
16,2,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
17,0,3,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
18,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
19,2,1,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
