Trial,Stim_Sequence,Choice,Trustee_Response,Alpha,Beta,Subject
11,0,4,1,0.03787154050463481,4.2858574221386885,2
12,2,2,0,0.03787154050463481,4.2858574221386885,2
13,2,1,0,0.03787154050463481,4.2858574221386885,2
14,2,3,0,0.03787154050463481,4.2858574221386885,2
15,0,1,1,0.03787154050463481,4.2858574221386885,2
16,2,1,0,0.03787154050463481,4.2858574221386885,2
17,0,4,1,0.03787154050463481,4.2858574221386885,2
18,0,4,1,0.03787154050463481,4.2858574221386885,2
19,1,4,0,0.03787154050463481,4.2858574221386885,2
20,1,4,1,0.03787154050463481,4.2858574221386885,2
21,1,3,1,0.03787154050463481,4.2858574221386885,2
22,0,4,1,0.03787154050463481,4.2858574221386885,2
23,1,2,1,0.03787154050463481,4.2858574221386885,2
24,0,4,1,0.03787154050463481,4.2858574221386885,2
25,1,4,1,0.03787154050463481,4.2858574221386885,2
26,1,3,1,0.03787154050463481,4.2858574221386885,2
27,0,4,1,0.03787154050463481,4.2858574221386885,2
28,1,4,1,0.03787154050463481,4.2858574221386885,2
29,1,4,1,0.03787154050463481,4.2858574221386885,2
30,2,2,0,0.03787154050463481,4.2858574221386885,2
31,0,4,1,0.03787154050463481,4.2858574221386885,2
32,0,4,0,0.03787154050463481,4.2858574221386885,2
33,2,1,0,0.03787154050463481,4.2858574221386885,2
34,2,1,0,0.03787154050463481,4.2858574221386885,2
35,2,2,1,0.03787154050463481,4.2858574221386885,2
36,1,4,1,0.03787154050463481,4.2858574221386885,2
37,0,4,1,0.03787154050463481,4.2858574221386885,2
38,1,4,1,0.03787154050463481,4.2858574221386885,2
39,2,1,0,0.03787154050463481,4.2858574221386885,2
40,2,1,0,0.03787154050463481,4.2858574221386885,2
41,2,1,0,0.03787154050463481,4.2858574221386885,2
42,2,2,0,0.03787154050463481,4.2858574221386885,2
43,2,1,0,0.03787154050463481,4.2858574221386885,2
44,1,4,1,0.03787154050463481,4.2858574221386885,2
45,0,4,1,0.03787154050463481,4.2858574221386885,2
1,2,4,0,0.6285284928443478,4.061606896705944,3
2,0,3,1,0.6285284928443478,4.061606896705944,3
3,2,1,0,0.6285284928443478,4.061606896705944,3
4,0,4,1,0.6285284928443478,4.061606896705944,3
5,0,4,1,0.6285284928443478,4.061606896705944,3
6,0,4,1,0.6285284928443478,4.061606896705944,3
7,2,1,0,0.6285284928443478,4.061606896705944,3
8,2,1,0,0.6285284928443478,4.061606896705944,3
9,0,4,1,0.6285284928443478,4.061606896705944,3
10,1,2,1,0.6285284928443478,4.061606896705944,3
11,2,1,0,0.6285284928443478,4.061606896705944,3
12,2,1,0,0.6285284928443478,4.061606896705944,3
13,1,4,1,0.6285284928443478,4.061606896705944,3
14,1,4,0,0.6285284928443478,4.061606896705944,3
15,1,1,1,0.6285284928443478,4.061606896705944,3
16,0,4,1,0.6285284928443478,4.061606896705944,3
17,0,4,1,0.6285284928443478,4.061606896705944,3
18,2,1,0,0.6285284928443478,4.061606896705944,3
19,0,4,1,0.6285284928443478,4.061606896705944,3
20,1,1,1,0.6285284928443478,4.061606896705944,3
21,1,1,1,0.6285284928443478,4.061606896705944,3
22,2,1,1,0.6285284928443478,4.061606896705944,3
