"onset"	"duration"	"my_codes"	"trial_type"	"response_time"	"response_key"	"stim_file"	"trial_earnings"
210.308060466079	1.78360566019546	"Decision"	"Neutral"	1.78360566019546	1	"images/B1f01.jpg"	9
212.105865011923	8.21639433980454	"Response"	"Neutral"	1.78360566019546	1	"images/B1f01.jpg"	9
220.32232306723	2	"Thinking"	"Neutral"	1.78360566019546	1	"images/B1f01.jpg"	9
220.332123307744	2	"Feedback"	"Neutral"	1.78360566019546	1	"images/B1f01.jpg"	9
230.342489592265	1.5170017988421	"Decision"	"Untrustworthy"	1.5170017988421	2	"images/C1f01.jpg"	6
231.873059948324	4.4829982011579	"Response"	"Untrustworthy"	1.5170017988421	2	"images/C1f01.jpg"	6
236.35611276282	2	"Thinking"	"Untrustworthy"	1.5170017988421	2	"images/C1f01.jpg"	6
238.358558414038	2	"Feedback"	"Untrustworthy"	1.5170017988421	2	"images/C1f01.jpg"	6
244.359127871343	1.31689302739687	"Decision"	"Trustworthy"	1.31689302739687	3	"images/A1f01.jpg"	15
245.690119091189	4.68310697260313	"Response"	"Trustworthy"	1.31689302739687	3	"images/A1f01.jpg"	15
250.373132766108	2	"Thinking"	"Trustworthy"	1.31689302739687	3	"images/A1f01.jpg"	15
252.375509581878	2	"Feedback"	"Trustworthy"	1.31689302739687	3	"images/A1f01.jpg"	15
258.376126825693	2.28379453113303	"Decision"	"Neutral"	2.28379453113303	2	"images/B1f01.jpg"	12
260.673752171802	3.71620546886697	"Response"	"Neutral"	2.28379453113303	2	"images/B1f01.jpg"	12
264.390122618293	2	"Thinking"	"Neutral"	2.28379453113303	2	"images/B1f01.jpg"	12
266.392327060807	2	"Feedback"	"Neutral"	2.28379453113303	2	"images/B1f01.jpg"	12
272.393064340227	1.39992570318282	"Decision"	"Trustworthy"	1.39992570318282	4	"images/A1f01.jpg"	18
273.807238422334	4.60007429681718	"Response"	"Trustworthy"	1.39992570318282	4	"images/A1f01.jpg"	18
278.407023154898	2	"Thinking"	"Trustworthy"	1.39992570318282	4	"images/A1f01.jpg"	18
280.410156023339	2	"Feedback"	"Trustworthy"	1.39992570318282	4	"images/A1f01.jpg"	18
286.410679400666	1.60058970970567	"Decision"	"Trustworthy"	1.60058970970567	4	"images/A1f01.jpg"	18
288.024847907713	4.39941029029433	"Response"	"Trustworthy"	1.60058970970567	4	"images/A1f01.jpg"	18
292.424053967115	2	"Thinking"	"Trustworthy"	1.60058970970567	4	"images/A1f01.jpg"	18
294.427202764433	2	"Feedback"	"Trustworthy"	1.60058970970567	4	"images/A1f01.jpg"	18
300.427449661889	1.06733021803666	"Decision"	"Trustworthy"	1.06733021803666	4	"images/A1f01.jpg"	18
301.508375175064	4.93266978196334	"Response"	"Trustworthy"	1.06733021803666	4	"images/A1f01.jpg"	18
306.441086485866	2	"Thinking"	"Trustworthy"	1.06733021803666	4	"images/A1f01.jpg"	18
308.444291603169	2	"Feedback"	"Trustworthy"	1.06733021803666	4	"images/A1f01.jpg"	18
316.444680153858	1.65025309845805	"Decision"	"Neutral"	1.65025309845805	2	"images/B1f01.jpg"	12
318.108604778419	4.34974690154195	"Response"	"Neutral"	1.65025309845805	2	"images/B1f01.jpg"	12
322.457969955867	2	"Thinking"	"Neutral"	1.65025309845805	2	"images/B1f01.jpg"	12
324.461086326628	2	"Feedback"	"Neutral"	1.65025309845805	2	"images/B1f01.jpg"	12
330.462148441235	1.45054141117726	"Decision"	"Untrustworthy"	1.45054141117726	2	"images/C1f01.jpg"	6
331.925946089905	4.54945858882274	"Response"	"Untrustworthy"	1.45054141117726	2	"images/C1f01.jpg"	6
336.475084963487	2	"Thinking"	"Untrustworthy"	1.45054141117726	2	"images/C1f01.jpg"	6
338.479316355428	2	"Feedback"	"Untrustworthy"	1.45054141117726	2	"images/C1f01.jpg"	6
